Occasion,Date,Trap,Species,Recapture (R/N) ,Tag no.,Age (J/SA/A),Sex (M/F),Breeding ,HF (L),E (L),AGD,HB,T,Tail % of HB,MZ (Muzzle length),Parasites (number of ectoparasites visible with naked eRe),Bag Weight (g),Weight incl. bag (g),Weight,Injuries ,Dead,Tissue Sample ID,Parasite Sample ID,Processor,Whot Baited,Other Notes,Flagged
F1-2-2011-1,23/06/2011,F1-2-39A,LTG,N,O417818F68,A,M,,44.4,25.1,40.3,,,,,23,16,311,95,,,53,,,,,
F1-2-2011-1,23/06/2011,F1-2-6B,RS,N,O4178194A1,A,F?,,40.9,22.9,11,,,,,78,21,127,106,"Half tail missing, old wound",,54,,,,"Small ankle bands, not full collar",
F1-2-2011-1,23/06/2011,F1-2-40A,HTSQ,N,O417819EDD,A,F?,,54,16.9,7.95,205.9,235.8,,,15,21,293,272,,,,,,,"grey head, brown upperparts, yellow eRe ring, tail long banded black and grey, underparts pale, large",
F1-2-2011-1,23/06/2011,F1-2-23A,RS,N,O41781A4F4,SA,M,,40.4,23.5,17.3,,,,,109,15,111,96,,,64,,,,,
F1-2-2011-1,23/06/2011,F1-2-31B,RS,N,O41781AF4A,A,M,,41.1,22.7,16.7,,,,,153,20,124,104,,,,,,,,
F1-2-2011-1,23/06/2011,F1-2-48A,RS,N,O41781B55E,A,F,,37.2,22.6,10.5,,,,,89,17,109,92,,,50,,,,,
F1-2-2011-1,23/06/2011,F1-2-45B,SS,N,O41781FF4A,A,M,,27.3,18.1,14.85,,,,,27,21,69,48,Tear in left ear,,,,,,,
F1-2-2011-1,23/06/2011,F1-2-45A,SS,N,O417O848AA,A,M,,26.2,17.1,10.45,,,,,26,20,72,52,,,,,,,"Pale underneath, orange stripe down side, dark brown upperparts, very spimR all over, genital parts longer (testes?), tail dark above pale below",
F1-2-2011-1,23/06/2011,F1-2-41B,RS,N,O417O8527F,SA,M,,38.05,26.1,18.8,,,,,106,15,119,104,,,,,,,,
F1-2-2011-2,24/06/2011,F1-2-42A,WH,N,O4178158E5,A,M?,,25.95,16.95,10.65,,,,,39,20,59,39,"Most of tail missing, old wound",,67,,,,,
F1-2-2011-2,24/06/2011,F1-2-46B,RS,N,O4178159F5,A,F,,38.75,26.6,12.5,,,,,147,19,131,112,,,65,,,,,
F1-2-2011-2,24/06/2011,F1-2-40B,LTG,N,O417815A76,A,M,,43.8,25.55,2.21,,,,,9,20,282,262,,,66,,,,,
F1-2-2011-2,24/06/2011,F1-2-33A,WH,R,O417815F87,A,F?,,,,,,,,,,,,,,,,,,,,
F1-2-2011-2,24/06/2011,F1-2-3B,RS,N,O41781655A,A,M,,43.5,23.2,18.6,,,,,92,20,137,117,,,69,,,,,
F1-2-2011-2,24/06/2011,F1-2-29A,RS,R,O41781669O,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-2,24/06/2011,F1-2-2A,LTG,N,O41781799A,SA,M,,44.8,26,19.2,,,,,13,19,238,219,,,73,,,,,
F1-2-2011-2,24/06/2011,F1-2-11B,RS,R,O417817CEC,A,F,,,,,,,,,,,,,,,,,,,,
F1-2-2011-2,24/06/2011,F1-2-42B,SS,N,O417817E9B,A,M,,27,16.3,11.6,,,,,19,20,65,45,End of tail broken by trap door,,,,,,"Dark brown upperparts, orange sides, pale underparts",
F1-2-2011-2,24/06/2011,F1-2-26A,WH,R,O417818185,A,F,,,,,,,,,,,,,,,,,,,,
F1-2-2011-2,24/06/2011,F1-2-43A,RR,R,O4178188E6,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-2,24/06/2011,F1-2-34A,RS,R,O417818C5F,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-2,24/06/2011,F1-2-36B,RS,N,O417818FA3,SA,M?,,38.9,24.5,14.4,,,,,151,20,112,92,,,68,,,,,
F1-2-2011-2,24/06/2011,F1-2-21B,RS,N,O4178191D3,A,F,,27.9,22.4,9.1,,,,,88,19,115,96,Tail injured by trap door,,71,,,,,
F1-2-2011-2,24/06/2011,F1-2-16A,RS,N,O417819A9B,A,F,,35.8,22.7,9.6,,,,,108,19,99,80,,,70,,,,,
F1-2-2011-2,24/06/2011,F1-2-31B,RS,R,O41781AF4A,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-2,24/06/2011,F1-2-9B,MR,N,O41782O26E,A,M,,41.15,21.8,29,,,,,67,20,222,202,,,,,,RR?,,
F1-2-2011-2,24/06/2011,F1-2-41B,?,N,,,,,,,,,,,,,,,,,y,,,,,OMIT,
F1-2-2011-2,24/06/2011,F1-2-40A,Moon Rat,N,,,,,,,,,,,,,,,,,,,,,,RELEASED,
F1-2-2011-3,25/06/2011,F1-2-46A,BS,N,O417815B42,A,M,,35.9,23.6,16.2,,,,,74,20,104,84,,,,,,,,
F1-2-2011-3,25/06/2011,F1-2-42B,RS,R,O417815B75,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-3,25/06/2011,F1-2-3B,RS,N,O417815D78,A,F,,38,24.1,8.6,,,,,97,20,120,100,,,74,,,,,
F1-2-2011-3,25/06/2011,F1-2-48B,RS,N,O4178163B8,A,M,,39.25,25.05,18.4,,,,,87,19,110,91,,,80,,,,,
F1-2-2011-3,25/06/2011,F1-2-29A,RS,R,O41781669O,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-3,25/06/2011,F1-2-25B,LTG,R,O417816O6D,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-3,25/06/2011,F1-2-45A,DTT,N,O417817917,A,F,,24.6,16.7,7.7,,,,,6,20,67,47,,,,,,,,
F1-2-2011-3,25/06/2011,F1-2-41A,SS,R,O417817E9B,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-3,25/06/2011,F1-2-4A,RS,N,O417818359,A,M,,40.2,23.8,12.8,,,,,111,20,125,105,,,77,,,,,
F1-2-2011-3,25/06/2011,F1-2-44A,WH,N,O41781839C,SA,F,,27.2,16.55,6.2,,,,,26,21,60,39,,,72,,,,,
F1-2-2011-3,25/06/2011,F1-2-26B,WH,N,O417818482,SA,M,,26.3,18.4,11.15,,,,,25,19,58,39,,,79,,,,"Different again from 48a and 11b, but dark underfur, slightly spiny, tail pale below",
F1-2-2011-3,25/06/2011,F1-2-22A,LTG,R,O417818B66,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-3,25/06/2011,F1-2-11B,WH,N,O417818CO9,SA,M,,28.2,16.5,9,,,,,17,20,57,37,"Tail injury from trap, segment of skin missing",,78,,,,"Much more orange than 48a, are there 2 WH morphs? Tail pale below.",
F1-2-2011-3,25/06/2011,F1-2-38A,MR,N,O417818E24,A,M,,42.6,20.2,28.9,,,,,21,19,202,183,,,,,,,"Pale yellow underparts, less grizzled fur than other MRs I have seen, large testes, very much like RR",
F1-2-2011-3,25/06/2011,F1-2-36B,RS,R,O417818FA3,SA,M?,,,,,,,,,,,,,,,,,,,,
F1-2-2011-3,25/06/2011,F1-2-48A,WH,N,O41781981D,A,F,,27.3,16.8,8.3,,,,,42,19,60,41,,,76,,,,"very grey/white underparts with orange line down the middle, slightly orange on the sides, dark upperparts, soft fur, slightly spiny, dark underfur, tail pale below",
F1-2-2011-3,25/06/2011,F1-2-32B,RS,N,O417819827,A,M,,37.8,23.5,16.4,,,,,96,20,110,90,,,75,,,,,
F1-2-2011-3,25/06/2011,F1-2-44B,RS,N,O417819AA9,A,M,,38.15,23.1,20.5,,,,,67,19,131,112,,,,,,,,
F1-2-2011-3,25/06/2011,F1-2-23A,RS,R,O41781A4F4,SA,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-3,25/06/2011,F1-2-12B,LSQ,N,O41781A65E,A,F,,34.3,13.5,5.7,139.8,88.3,,,8,20,95,75,Cut on right knee,,,,,,,
F1-2-2011-3,25/06/2011,F1-2-46B,DTT,N,O41781BO9O,A,M,,26.8,16.9,13.8,,,,,18,20,71,51,,,,,,,,
F1-2-2011-3,25/06/2011,F1-2-41B,RS,R,O417O8527F,SA,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-4,26/06/2011,F1-2-28A,SS,N,O417814D8D,A,M,,26.2,16.3,13.25,,,,,50,20,67,47,,,,,,,,
F1-2-2011-4,26/06/2011,F1-2-46B,RS,R,O4178159F5,A,F,,,,,,,,,,,,,,,,,,,,
F1-2-2011-4,26/06/2011,F1-2-34B,WH,R,O417815F87,A,F?,,,,,,,,,,,,,,y,,,,,Dead - eaten by ants,
F1-2-2011-4,26/06/2011,F1-2-36B,LTG,N,O4178167F2,A,M,,48.65,25.65,32.45,,,,,40,19,305,86,,,82,,,,,
F1-2-2011-4,26/06/2011,F1-2-38B,LTG,R,O4178167FE,A,F?,,,,,,,,,,,,,,,,,,,,
F1-2-2011-4,26/06/2011,F1-2-44B,RS,N,O417816A54,A,M,,39.8,22.9,15.65,,,,,110,20,121,101,"Cut on side, new wound",,81,,,,"Not full collar, wide ankle bands",
F1-2-2011-4,26/06/2011,F1-2-18A,LTG,R,O417816O6D,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-4,26/06/2011,F1-2-27A,LSQ,N,O417817232,A,M,Testes,36.05,13.4,19.15,116.5,73.4,,,4,20,88,68,,,,,,,,
F1-2-2011-4,26/06/2011,F1-2-11B,RS,N,O417817422,A,F,,38.65,21.55,7.3,,,,,103,20,119,99,,,83,,,,"Not full collar, thick ankle bands",
F1-2-2011-4,26/06/2011,F1-2-13B,RS,N,O417818846,A,M,,42,22.8,19.2,,,,,98,20,121,101,,,84,,,,,
F1-2-2011-4,26/06/2011,F1-2-34A,RS,R,O417818C5F,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-4,26/06/2011,F1-2-33A,LTG,R,O417818F68,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-4,26/06/2011,F1-2-37B,SS,N,O417819A34,A,M?,,26.6,16.9,9.6,,,,,27,19,76,57,,,,,,,,
F1-2-2011-4,26/06/2011,F1-2-35A,RS,R,O41781AF4A,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-4,26/06/2011,F1-2-26A,LSQ,N,O41782O83A,A?,F,,35.85,13.15,4.8,118.35,94.05,,,6,20,100,80,,,,,,,,
F1-2-2011-4,26/06/2011,F1-2-41A,RS,R,O417O8527F,SA,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-5,27/06/2011,F1-2-6B,PR,N,O41781573F,A,M?,,23.5,15.3,8.1,,,,,7,19,45,26,,,,,,,"Upperparts olive/grey, white underparts with yellow line down the middle, fur soft and not very spiny, underfur dark, typical rattus lump at base of tail, small size, some guard hairs but not many, tail entirely dark. EDIT by ORW: originally ID'd as MFR/RR, before we had PR dialled down. very likely to be PR.",
F1-2-2011-5,27/06/2011,F1-2-40B,LTG,R,O417815A76,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-5,27/06/2011,F1-2-5B,SS,N,O417815B97,A,M,,25.7,17.2,12.9,,,,,63,19,65,46,,,,,,,,
F1-2-2011-5,27/06/2011,F1-2-48B,RS,R,O4178163B8,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-5,27/06/2011,F1-2-44B,SLTRS,N,O4178163E8,A,F,,39.15,9.4,5.6,137.2,162.15,,23.8,1,21,85,64,,,,,,,"EDIT: This was originally entered as ""R"" for a recap, but cannot find this tag number either in this spreadsheet or any of the other F spreadsheets (including the original F trapping). So assumed to be mistake. Also, measurements were taken suggesting it was a new individual.",
F1-2-2011-5,27/06/2011,F1-2-43A,LTG,R,O4178167FE,A,F?,,,,,,,,,,,,,,,,,,,,
F1-2-2011-5,27/06/2011,F1-2-36B,BSQ?,N,O417816944,SA,M,Testes,35.1,11.95,22.9,134.15,87.3,,,9,19,101,82,,,,,,,DODGY ID,
F1-2-2011-5,27/06/2011,F1-2-24A,RS,N,O417816O89,A,M,,39.6,26.5,22,,,,,95,19,144,125,,,86,,,,,
F1-2-2011-5,27/06/2011,F1-2-45B,LSQ,N,O417817328,A,M,,33.8,14.2,23.55,116.1,93.3,,,4,19,94,75,,,,,,,,
F1-2-2011-5,27/06/2011,F1-2-40A,RS,N,O417817643,A,M,,39.8,26,18.1,,,,,133,19,124,105,Tail cut in half by trap door,,87,,,,,
F1-2-2011-5,27/06/2011,F1-2-4B,LTG,R,O417817B38,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-5,27/06/2011,F1-2-26B,WH,R,O417818185,A,F,,,,,,,,,,,,,,,,,,,,
F1-2-2011-5,27/06/2011,F1-2-37B,LSQ,N,O417818714,A,M,Testes,36.65,15.35,18.9,138.15,92.15,,,4,20,97,77,,,,,,,,
F1-2-2011-5,27/06/2011,F1-2-4A,RS,N,O4178188C5,SA,F,,37.2,22.75,7.7,,,,,107,19,104,85,,,85,,,,Trap overturned,
F1-2-2011-5,27/06/2011,F1-2-16A,RS,R,O41781896A,A,F,,,,,,,,,,,,,,,,,,,,
F1-2-2011-5,27/06/2011,F1-2-23A,LTG,R,O417818B66,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-5,27/06/2011,F1-2-34A,RS,R,O417818C5F,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-5,27/06/2011,F1-2-43B,MR,R,O417818E24,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-5,27/06/2011,F1-2-25B,LTG,R,O417818F68,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-5,27/06/2011,F1-2-36A,RS,R,O417818FA3,SA,M?,,,,,,,,,,,,,,,,,,,,
F1-2-2011-5,27/06/2011,F1-2-32B,RS,R,O417819827,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-5,27/06/2011,F1-2-45A,RS,R,O417819AA9,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-5,27/06/2011,F1-2-2A,WH,N,O417819B19,A?,M,,27.7,18.3,11.8,,,,,22,19,58,39,,,88,,,,,
F1-2-2011-5,27/06/2011,F1-2-31B,RS,R,O41781AF4A,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-5,27/06/2011,F1-2-47B,RS,R,O41781B55E,A,F,,,,,,,,,,,,,,,,,,,,
F1-2-2011-5,27/06/2011,F1-2-46B,HTSQ,N,O41781F1BF,A,M,Testes,51.5,18.5,39.55,230.05,234.4,,,5,19,308,289,,,,,,,,
F1-2-2011-5,27/06/2011,F1-2-48A,RS,R,O417O8527F,SA,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-5,27/06/2011,F1-2-41B,?,N,,,,,,,,,,,,,,,,,y,,,,,OMIT,
F1-2-2011-5,27/06/2011,F1-2-5A,RS,N,,,,,,,,,,,,,,,,,,,,,,ESCAPED,
F1-2-2011-6,28/06/2011,F1-2-37B,WH,R,O4178158E5,A,M?,,,,,,,,,,,,,,,,,,,,
F1-2-2011-6,28/06/2011,F1-2-42B,RS,R,O417815B75,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-6,28/06/2011,F1-2-8B,SSQ?,N,O417815CF8,A,F,,39.25,11.45,4.85,132.45,151.55,,,12,26,84,58,,,,,,,DODGY ID,
F1-2-2011-6,28/06/2011,F1-2-48B,RS,N,O417815O45,A,F,,38.3,22.95,9.75,,,,,77,19,109,90,,,,,,,,
F1-2-2011-6,28/06/2011,F1-2-32A,SS,N,O417816338,A,M,,26.9,16.1,13.45,,,,,42,29,75,46,,,,,,,,
F1-2-2011-6,28/06/2011,F1-2-47B,SS,N,O417816417,A,M?,,27.8,16.4,11.4,,,,,58,20,79,59,,,,,,,"Ear measurement taken on right ear, big chunk of left ear missing",
F1-2-2011-6,28/06/2011,F1-2-29A,RS,N,O4178165AO,A,F,,40.2,22.8,7.15,,,,,95,20,128,108,,,,,,,,
F1-2-2011-6,28/06/2011,F1-2-28A,RS,R,O41781669O,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-6,28/06/2011,F1-2-43A,LTG,R,O4178167F2,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-6,28/06/2011,F1-2-46B,LTG,R,O4178167FE,A,F?,,,,,,,,,,,,,,,,,,,,
F1-2-2011-6,28/06/2011,F1-2-44B,RS,R,O417816A54,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-6,28/06/2011,F1-2-40B,RS,N,O417816B67,A,F,,39.8,23.5,7.3,,,,,98,20,121,101,Tail skinned in trap,,,,,,,
F1-2-2011-6,28/06/2011,F1-2-32B,SS,N,O4178174FA,A,M?,,26.15,17,18.8,,,,,53,19,64,45,,,,,,,,
F1-2-2011-6,28/06/2011,F1-2-1B,LTG,R,O41781799A,SA,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-6,28/06/2011,F1-2-39A,RS,R,O417818359,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-6,28/06/2011,F1-2-43B,RR,N,O417818AFB,A,F,,35.3,18.75,16.35,,,,,7,21,125,104,,,,,,,"Dull coloration, similar undeparts but slightly lighter, dark tail, furry towards end of tail, lump at base of tail",
F1-2-2011-6,28/06/2011,F1-2-45A,WH,N,O417818B11,SA,F,,27.25,16.9,7.3,,,,,27,20,51,31,torn left ear,,91,,,,,
F1-2-2011-6,28/06/2011,F1-2-22A,LTG,R,O417818B66,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-6,28/06/2011,F1-2-23A,WH,N,O417818BA8,A,,,26.15,16.45,,,,,,34,20,54,34,,,90,,,,,
F1-2-2011-6,28/06/2011,F1-2-21B,RS,R,O4178191D3,A,F,,,,,,,,,,,,,,y,,,,,Found dead in trap,
F1-2-2011-6,28/06/2011,F1-2-31B,RS,R,O417819827,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-6,28/06/2011,F1-2-29B,LSQ,N,O41781982C,A,F,,36.7,11.95,6.45,125,107.8,,,34,20,122,102,,,,,,,,
F1-2-2011-6,28/06/2011,F1-2-9A,LSQ,N,O41781ADOC,A,M,Testes,,12.2,20.5,130.1,99.2,,,17,20,101,81,,,,,,,,
F1-2-2011-6,28/06/2011,F1-2-30B,RS,R,O41781AF4A,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-6,28/06/2011,F1-2-7A,LGTRS,N,O41781B3D5,,,,44.3,14.45,7.1,,,,38.6,15,20,201,181,,,,,,,,
F1-2-2011-6,28/06/2011,F1-2-38A,DTT,R,O41781BO9O,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-6,28/06/2011,F1-2-38B,SSQ?,N,O41781D6E4,A,M,Testes,39.8,10.2,5.9,139.2,169.9,,,9,20,74,54,broken leg in trap,,,,,,DODGY ID,
F1-2-2011-6,28/06/2011,F1-2-13B,MR,R,O41782O26E,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-17B,SS,R,O417814D8D,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-43A,WH,R,O4178156A7,A,M?,,,,,,,,,,,,,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-44A,WH,R,O4178156A7,A,M?,,,,,,,,,,,,,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-37B,WH,R,O4178158E5,A,M?,,,,,,,,,,,,,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-38A,LTG,R,O417815A76,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-3B,RS,R,O417815D78,A,F,,,,,,,,,,,,,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-42B,WH,N,O417815E63,A,M,Testes,28.15,18.5,14.2,,,,,26,23,62,39,"End of tail skinned, hand bleeding - leech",,92,,,,,
F1-2-2011-7,29/06/2011,F1-2-39B,LTG,R,O4178167FE,A,F?,,,,,,,,,,,,,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-5A,WH,N,O417816A8C,A,M,Testes,28.8,16.95,12.1,,,,,21,24,70,46,,,93,,,,,
F1-2-2011-7,29/06/2011,F1-2-38B,SS,N,O417816FA8,A,M,Testes,26.15,16.15,14.25,,,,,35,24,73,49,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-11B,RS,R,O417817422,A,F,,,,,,,,,,,,,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-32A,RS,R,O417817643,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-20A,FSGSQ,N,O41781788O,A,M,Testes,45.4,15.05,17.7,186.9,128.55,,,4,21,235,114,,,,,,,"Reddish underparts, nine stripes on back",
F1-2-2011-7,29/06/2011,F1-2-4A,LTG,R,O417817B38,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-17A,WH,N,O417817CD4,A,M,,27.2,15.2,10.2,,,,,50,23,62,39,,,96,,,,,
F1-2-2011-7,29/06/2011,F1-2-15B,RS,R,O417817CEC,A,F,,,,,,,,,,,,,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-39A,RS,R,O417818359,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-41B,RS,N,O41781869O,A,F?,,37.75,23.1,10.1,,,,,37,22,110,88,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-14A,RS,R,O417818846,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-4B,RS,R,O4178188C5,SA,F,,,,,,,,,,,,,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-8B,LTG,N,O417818D26,A,M,,46.05,25.5,25.7,,,,,9,23,268,245,Tear in left ear,,95,,,,,
F1-2-2011-7,29/06/2011,F1-2-26A,LTG,R,O417818F68,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-35A,RS,R,O417818FA3,SA,M?,,,,,,,,,,,,,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-6A,RS,R,O4178194A1,A,F?,,,,,,,,,,,,,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-8A,LSQ,N,O417819785,A,F,,34.45,13.35,6.25,116.7,94.45,,,10,31,104,73,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-22B,SS,N,O4178197D6,SA,F?,,27.2,17.2,8.5,,,,,26,21,71,50,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-16A,RS,R,O417819A9B,A,F,,,,,,,,,,,,,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-2A,WH,R,O417819B19,A?,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-21A,RS,N,O417819D33,A,M,,40.2,23.6,12.2,,,,,70,20,114,94,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-34A,HTSQ,R,O417819EDD,A,F?,,,,,,,,,,,,,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-45B,RS,N,O41781A268,A,M,Testes,42.2,23.15,17.95,,,,,230,24,132,108,,,,,,,White tip of tail,
F1-2-2011-7,29/06/2011,F1-2-19B,RS,R,O41781A4F4,SA,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-1A,RS,N,O41781A53E,A,M,Testes,39.7,22.6,22,,,,,105,24,139,115,"End of tail missing, old wound",,,,,,,
F1-2-2011-7,29/06/2011,F1-2-28B,RS,N,O41781AD7O,A,M,,38.8,23,18.2,,,,,85,20,123,103,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-47B,RS,R,O41781B55E,A,F,,,,,,,,,,,,,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-45A,SS,R,O41781FF4A,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-14B,MR,R,O41782O26E,A,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-48A,LTG,N,O41782O8AE,A,M,,45.55,21.2,15.4,,,,,19,24,315,291,,,94,,,,,
F1-2-2011-7,29/06/2011,F1-2-48B,RS,R,O417O8527F,SA,M,,,,,,,,,,,,,,,,,,,,
F1-2-2011-7,29/06/2011,F1-2-44B,?,N,,,,,,,,,,,,,,,,,y,,,,,OMIT,
F1-1-2011-1,04/07/2011,F1-1-47A,WH,N,O4173BEE8B,A,F,,27.5,17.6,7.7,,,,,35,19,56,37,,,107,,,,,
F1-1-2011-1,04/07/2011,F1-1-1A,LTG,N,O4173BFO4O,A,M,,44.2,14.75,17,,,,,9,20,331,311,,,109,,,,,
