Unnamed: 0,date,trap_N,block,family,census,block_trap_census,plot
197,2011-11-19,5,A,Scarabaeidae,P2,A_5_P2,A
198,2011-11-02,5,A,Staphylinidae,P2,A_5_P2,A
199,2011-11-02,5,A,Staphylinidae,P2,A_5_P2,A
200,2011-11-02,5,A,Staphylinidae,P2,A_5_P2,A
201,2011-11-02,5,A,Staphylinidae,P2,A_5_P2,A
202,2011-11-02,5,A,Staphylinidae,P2,A_5_P2,A
203,2011-11-02,5,A,Staphylinidae,P2,A_5_P2,A
204,2011-11-02,5,A,Staphylinidae,P2,A_5_P2,A
205,2011-11-02,5,A,Staphylinidae,P2,A_5_P2,A
206,2011-11-02,5,A,Staphylinidae,P2,A_5_P2,A
207,2011-11-02,5,A,Staphylinidae,P2,A_5_P2,A
208,2011-11-02,5,A,Staphylinidae,P2,A_5_P2,A
209,2011-11-02,5,A,Staphylinidae,P2,A_5_P2,A
210,2011-11-02,5,A,Staphylinidae,P2,A_5_P2,A
211,2012-06-17,5,A,Staphylinidae,P3,A_5_P3,A
212,2012-06-17,5,A,Staphylinidae,P3,A_5_P3,A
213,2012-06-17,5,A,Staphylinidae,P3,A_5_P3,A
214,2012-06-17,5,A,Staphylinidae,P3,A_5_P3,A
215,2012-06-17,5,A,Staphylinidae,P3,A_5_P3,A
216,2012-06-17,5,A,Staphylinidae,P3,A_5_P3,A
217,2012-06-17,5,A,Staphylinidae,P3,A_5_P3,A
218,2012-06-17,5,A,Staphylinidae,P3,A_5_P3,A
219,2012-06-17,5,A,Staphylinidae,P3,A_5_P3,A
220,2012-06-17,5,A,Staphylinidae,P3,A_5_P3,A
221,2012-06-17,6,A,Staphylinidae,P3,A_6_P3,A
222,2012-06-17,6,A,Clambidae,P3,A_6_P3,A
223,2012-06-17,6,A,Leptodiridae,P3,A_6_P3,A
224,2012-06-17,6,A,Leptodiridae,P3,A_6_P3,A
225,2012-06-17,6,A,Leiodidae,P3,A_6_P3,A
226,2012-06-17,6,A,Leiodidae,P3,A_6_P3,A
227,2012-06-17,6,A,Biphyllidae,P3,A_6_P3,A
228,2012-06-17,6,A,Biphyllidae,P3,A_6_P3,A
229,2012-06-17,6,A,Scarabaeidae,P3,A_6_P3,A
235,2012-06-17,6,A,Curculionidae,P3,A_6_P3,A
236,2011-11-19,6,A,Carabidae,P2,A_6_P2,A
237,2011-11-19,6,A,Staphylinidae,P2,A_6_P2,A
239,2011-02-22,6,A,Staphylinidae,P1,A_6_P1,A
240,2011-02-22,6,A,Staphylinidae,P1,A_6_P1,A
241,2011-02-22,6,A,Staphylinidae,P1,A_6_P1,A
242,2011-02-22,6,A,Staphylinidae,P1,A_6_P1,A
243,2011-11-02,6,A,Staphylinidae,P2,A_6_P2,A
244,2011-11-02,6,A,Staphylinidae,P2,A_6_P2,A
245,2011-11-02,6,A,Staphylinidae,P2,A_6_P2,A
246,2011-11-02,6,A,Staphylinidae,P2,A_6_P2,A
247,2011-11-02,6,A,Staphylinidae,P2,A_6_P2,A
248,2011-11-02,6,A,Staphylinidae,P2,A_6_P2,A
249,2011-11-02,6,A,Staphylinidae,P2,A_6_P2,A
250,2011-11-02,6,A,Staphylinidae,P2,A_6_P2,A
251,2011-11-02,6,A,Staphylinidae,P2,A_6_P2,A
252,2011-11-02,6,A,Staphylinidae,P2,A_6_P2,A
253,2011-11-02,6,A,Staphylinidae,P2,A_6_P2,A
254,2011-11-02,6,A,Staphylinidae,P2,A_6_P2,A
255,2011-11-02,6,A,Staphylinidae,P2,A_6_P2,A
256,2012-06-17,6,A,Staphylinidae,P3,A_6_P3,A
257,2012-06-17,6,A,Staphylinidae,P3,A_6_P3,A
258,2012-06-17,6,A,Staphylinidae,P3,A_6_P3,A
259,2012-06-17,6,A,Staphylinidae,P3,A_6_P3,A
260,2012-06-17,6,A,Staphylinidae,P3,A_6_P3,A
261,2012-06-17,6,A,Staphylinidae,P3,A_6_P3,A
262,2012-06-17,6,A,Staphylinidae,P3,A_6_P3,A
263,2012-06-17,7,A,Hydrophilidae,P3,A_7_P3,A
264,2012-06-17,7,A,Leiodidae,P3,A_7_P3,A
265,2012-06-17,7,A,Curculionidae,P3,A_7_P3,A
266,2012-06-17,7,A,Curculionidae,P3,A_7_P3,A
267,2012-06-17,7,A,Curculionidae,P3,A_7_P3,A
269,2011-11-19,7,A,Zopheridae,P2,A_7_P2,A
270,2011-11-19,7,A,Scarabaeidae,P2,A_7_P2,A
271,2011-11-19,7,A,Staphylinidae,P2,A_7_P2,A
272,2011-11-19,7,A,Curculionidae,P2,A_7_P2,A
273,2011-11-02,7,A,Staphylinidae,P2,A_7_P2,A
274,2011-11-02,7,A,Staphylinidae,P2,A_7_P2,A
275,2011-11-02,7,A,Staphylinidae,P2,A_7_P2,A
276,2011-11-02,7,A,Staphylinidae,P2,A_7_P2,A
277,2011-11-02,7,A,Staphylinidae,P2,A_7_P2,A
278,2011-11-02,7,A,Staphylinidae,P2,A_7_P2,A
279,2011-11-02,7,A,Staphylinidae,P2,A_7_P2,A
280,2011-11-02,7,A,Staphylinidae,P2,A_7_P2,A
281,2011-11-02,7,A,Staphylinidae,P2,A_7_P2,A
282,2011-11-02,7,A,Staphylinidae,P2,A_7_P2,A
283,2011-11-02,7,A,Staphylinidae,P2,A_7_P2,A
284,2011-11-02,7,A,Staphylinidae,P2,A_7_P2,A
285,2011-11-02,7,A,Staphylinidae,P2,A_7_P2,A
286,2012-06-17,7,A,Staphylinidae,P3,A_7_P3,A
287,2012-06-17,7,A,Staphylinidae,P3,A_7_P3,A
288,2012-06-17,7,A,Staphylinidae,P3,A_7_P3,A
289,2012-06-17,7,A,Staphylinidae,P3,A_7_P3,A
290,2012-06-17,7,A,Staphylinidae,P3,A_7_P3,A
291,2012-06-17,7,A,Staphylinidae,P3,A_7_P3,A
292,2012-06-17,7,A,Staphylinidae,P3,A_7_P3,A
293,2012-06-17,7,A,Staphylinidae,P3,A_7_P3,A
294,2012-06-17,8,A,Staphylinidae,P3,A_8_P3,A
295,2012-06-17,8,A,Mordelidae,P3,A_8_P3,A
303,2011-02-22,8,A,Leiodidae,P1,A_8_P1,A
304,2011-02-22,8,A,Staphylinidae,P1,A_8_P1,A
305,2011-11-19,8,A,Scarabaeidae,P2,A_8_P2,A
306,2011-11-19,8,A,Scarabaeidae,P2,A_8_P2,A
307,2011-11-19,8,A,Scarabaeidae,P2,A_8_P2,A
308,2011-11-19,8,A,Chrysomelidae,P2,A_8_P2,A
309,2011-11-02,8,A,Staphylinidae,P2,A_8_P2,A
310,2011-11-02,8,A,Staphylinidae,P2,A_8_P2,A
311,2011-11-02,8,A,Staphylinidae,P2,A_8_P2,A
312,2011-11-02,8,A,Staphylinidae,P2,A_8_P2,A
313,2011-11-02,8,A,Staphylinidae,P2,A_8_P2,A
314,2011-11-02,8,A,Staphylinidae,P2,A_8_P2,A
315,2011-11-02,8,A,Staphylinidae,P2,A_8_P2,A
316,2011-11-02,8,A,Staphylinidae,P2,A_8_P2,A
317,2011-11-02,8,A,Staphylinidae,P2,A_8_P2,A
318,2011-11-02,8,A,Staphylinidae,P2,A_8_P2,A
319,2011-11-02,8,A,Staphylinidae,P2,A_8_P2,A
320,2011-11-02,8,A,Staphylinidae,P2,A_8_P2,A
321,2011-11-02,8,A,Staphylinidae,P2,A_8_P2,A
322,2012-06-17,8,A,Staphylinidae,P3,A_8_P3,A
323,2012-06-17,8,A,Staphylinidae,P3,A_8_P3,A
324,2012-06-17,8,A,Staphylinidae,P3,A_8_P3,A
325,2012-06-17,8,A,Staphylinidae,P3,A_8_P3,A
326,2012-06-17,9,A,Carabidae,P3,A_9_P3,A
327,2012-06-17,9,A,Leiodidae,P3,A_9_P3,A
328,2012-06-17,9,A,Leiodidae,P3,A_9_P3,A
329,2012-06-17,9,A,Leiodidae,P3,A_9_P3,A
330,2012-06-17,9,A,Leiodidae,P3,A_9_P3,A
331,2012-06-17,9,A,Staphylinidae,P3,A_9_P3,A
332,2012-06-17,9,A,Geotrupidae,P3,A_9_P3,A
333,2012-06-17,9,A,Curculionidae,P3,A_9_P3,A
334,2012-06-17,9,A,Curculionidae,P3,A_9_P3,A
336,2011-11-02,9,A,Staphylinidae,P2,A_9_P2,A
337,2011-11-02,9,A,Staphylinidae,P2,A_9_P2,A
338,2011-11-02,9,A,Staphylinidae,P2,A_9_P2,A
339,2011-11-02,9,A,Staphylinidae,P2,A_9_P2,A
340,2011-11-02,9,A,Staphylinidae,P2,A_9_P2,A
341,2011-11-02,9,A,Staphylinidae,P2,A_9_P2,A
342,2011-11-02,9,A,Staphylinidae,P2,A_9_P2,A
343,2011-11-02,9,A,Staphylinidae,P2,A_9_P2,A
344,2011-11-02,9,A,Staphylinidae,P2,A_9_P2,A
345,2011-11-02,9,A,Staphylinidae,P2,A_9_P2,A
346,2011-11-02,9,A,Staphylinidae,P2,A_9_P2,A
347,2011-11-02,9,A,Staphylinidae,P2,A_9_P2,A
348,2011-11-02,9,A,Staphylinidae,P2,A_9_P2,A
349,2012-06-17,9,A,Staphylinidae,P3,A_9_P3,A
350,2012-06-17,10,A,Carabidae,P3,A_10_P3,A
351,2012-06-17,10,A,Clambidae,P3,A_10_P3,A
352,2012-06-17,10,A,Cleridae,P3,A_10_P3,A
353,2012-06-17,10,A,Leptodiridae,P3,A_10_P3,A
354,2012-06-17,10,A,Nitidulidae,P3,A_10_P3,A
355,2012-06-17,10,A,Nitidulidae,P3,A_10_P3,A
356,2012-06-17,10,A,Nitidulidae,P3,A_10_P3,A
357,2012-06-17,10,A,Buprestidae,P3,A_10_P3,A
358,2012-06-17,10,A,Limnichidae,P3,A_10_P3,A
359,2012-06-17,10,A,Scarabaeidae,P3,A_10_P3,A
360,2012-06-17,10,A,Curculionidae,P3,A_10_P3,A
361,2012-06-17,10,A,Curculionidae,P3,A_10_P3,A
362,2012-06-17,10,A,Curculionidae,P3,A_10_P3,A
363,2012-06-17,10,A,Curculionidae,P3,A_10_P3,A
364,2012-06-17,10,A,Curculionidae,P3,A_10_P3,A
365,2012-06-17,10,A,Curculionidae,P3,A_10_P3,A
366,2012-06-17,10,A,Curculionidae,P3,A_10_P3,A
374,2012-06-17,10,A,Cleridae,P3,A_10_P3,A
375,2011-02-22,10,A,Anthicidae,P1,A_10_P1,A
376,2011-02-22,10,A,Curculionidae,P1,A_10_P1,A
377,2011-11-19,10,A,Elateridae,P2,A_10_P2,A
378,2011-11-19,10,A,Dytiscidae,P2,A_10_P2,A
379,2011-11-19,10,A,Staphylinidae,P2,A_10_P2,A
380,2011-11-19,10,A,Staphylinidae,P2,A_10_P2,A
383,2011-02-22,10,A,Staphylinidae,P1,A_10_P1,A
384,2011-02-22,10,A,Staphylinidae,P1,A_10_P1,A
385,2011-02-22,10,A,Staphylinidae,P1,A_10_P1,A
386,2011-02-22,10,A,Staphylinidae,P1,A_10_P1,A
387,2011-02-22,10,A,Staphylinidae,P1,A_10_P1,A
388,2011-02-22,10,A,Staphylinidae,P1,A_10_P1,A
389,2011-02-22,10,A,Staphylinidae,P1,A_10_P1,A
390,2011-02-22,10,A,Staphylinidae,P1,A_10_P1,A
391,2011-02-22,10,A,Staphylinidae,P1,A_10_P1,A
392,2011-02-22,10,A,Staphylinidae,P1,A_10_P1,A
393,2011-02-22,10,A,Staphylinidae,P1,A_10_P1,A
394,2011-02-22,10,A,Staphylinidae,P1,A_10_P1,A
395,2011-02-22,10,A,Staphylinidae,P1,A_10_P1,A
396,2011-02-22,10,A,Staphylinidae,P1,A_10_P1,A
397,2011-02-22,10,A,Staphylinidae,P1,A_10_P1,A
398,2011-02-22,10,A,Staphylinidae,P1,A_10_P1,A
399,2011-02-22,10,A,Staphylinidae,P1,A_10_P1,A
400,2011-11-02,10,A,Staphylinidae,P2,A_10_P2,A
401,2011-11-02,10,A,Staphylinidae,P2,A_10_P2,A
402,2011-11-02,10,A,Staphylinidae,P2,A_10_P2,A
403,2011-11-02,10,A,Staphylinidae,P2,A_10_P2,A
404,2011-11-02,10,A,Staphylinidae,P2,A_10_P2,A
405,2011-11-02,10,A,Staphylinidae,P2,A_10_P2,A
406,2011-11-02,10,A,Staphylinidae,P2,A_10_P2,A
407,2011-11-02,10,A,Staphylinidae,P2,A_10_P2,A
408,2011-11-02,10,A,Staphylinidae,P2,A_10_P2,A
409,2011-11-02,10,A,Staphylinidae,P2,A_10_P2,A
410,2011-11-02,10,A,Staphylinidae,P2,A_10_P2,A
411,2011-11-02,10,A,Staphylinidae,P2,A_10_P2,A
412,2011-11-02,10,A,Staphylinidae,P2,A_10_P2,A
413,2011-11-19,10,A,Staphylinidae,P2,A_10_P2,A
414,2011-11-19,10,A,Staphylinidae,P2,A_10_P2,A
415,2011-11-19,10,A,Staphylinidae,P2,A_10_P2,A
416,2011-11-19,10,A,Staphylinidae,P2,A_10_P2,A
417,2011-11-19,10,A,Staphylinidae,P2,A_10_P2,A
418,2012-06-28,10,A,Staphylinidae,P3,A_10_P3,A
419,2012-06-28,10,A,Staphylinidae,P3,A_10_P3,A
420,2012-06-28,10,A,Staphylinidae,P3,A_10_P3,A
421,2012-06-28,10,A,Staphylinidae,P3,A_10_P3,A
422,2012-06-28,10,A,Staphylinidae,P3,A_10_P3,A
423,2012-06-28,10,A,Staphylinidae,P3,A_10_P3,A
424,2012-06-28,10,A,Staphylinidae,P3,A_10_P3,A
425,2012-06-28,10,A,Staphylinidae,P3,A_10_P3,A
426,2012-06-28,10,A,Staphylinidae,P3,A_10_P3,A
427,2012-06-28,10,A,Staphylinidae,P3,A_10_P3,A
428,2012-06-28,10,A,Staphylinidae,P3,A_10_P3,A
429,2012-06-28,10,A,Staphylinidae,P3,A_10_P3,A
430,2012-06-28,10,A,Staphylinidae,P3,A_10_P3,A
431,2012-06-28,10,A,Staphylinidae,P3,A_10_P3,A
432,2012-06-28,10,A,Staphylinidae,P3,A_10_P3,A
433,2012-06-28,10,A,Staphylinidae,P3,A_10_P3,A
434,2012-06-28,10,A,Staphylinidae,P3,A_10_P3,A
435,2012-06-28,10,A,Staphylinidae,P3,A_10_P3,A
436,2012-06-28,10,A,Staphylinidae,P3,A_10_P3,A
437,2012-06-17,11,A,Staphylinidae,P3,A_11_P3,A
438,2012-06-17,11,A,Leiodidae,P3,A_11_P3,A
439,2012-06-17,11,A,Leptodiridae,P3,A_11_P3,A
440,2012-06-17,11,A,Leptodiridae,P3,A_11_P3,A
441,2012-06-17,11,A,Curculionidae,P3,A_11_P3,A
442,2012-06-17,11,A,Curculionidae,P3,A_11_P3,A
443,2012-06-17,11,A,Curculionidae,P3,A_11_P3,A
453,2011-11-02,11,A,Staphylinidae,P2,A_11_P2,A
454,2011-11-02,11,A,Staphylinidae,P2,A_11_P2,A
455,2011-11-02,11,A,Staphylinidae,P2,A_11_P2,A
456,2011-11-02,11,A,Staphylinidae,P2,A_11_P2,A
457,2011-11-02,11,A,Staphylinidae,P2,A_11_P2,A
458,2011-11-02,11,A,Staphylinidae,P2,A_11_P2,A
459,2011-11-02,11,A,Staphylinidae,P2,A_11_P2,A
460,2011-11-02,11,A,Staphylinidae,P2,A_11_P2,A
461,2011-11-02,11,A,Staphylinidae,P2,A_11_P2,A
462,2011-11-02,11,A,Staphylinidae,P2,A_11_P2,A
463,2011-11-02,11,A,Staphylinidae,P2,A_11_P2,A
464,2011-11-02,11,A,Staphylinidae,P2,A_11_P2,A
465,2011-11-02,11,A,Staphylinidae,P2,A_11_P2,A
466,2012-06-28,11,A,Staphylinidae,P3,A_11_P3,A
467,2012-06-28,11,A,Staphylinidae,P3,A_11_P3,A
468,2012-06-28,11,A,Staphylinidae,P3,A_11_P3,A
469,2012-06-28,11,A,Staphylinidae,P3,A_11_P3,A
470,2012-06-28,11,A,Staphylinidae,P3,A_11_P3,A
471,2012-06-28,11,A,Staphylinidae,P3,A_11_P3,A
472,2012-06-28,11,A,Staphylinidae,P3,A_11_P3,A
473,2012-06-28,11,A,Staphylinidae,P3,A_11_P3,A
474,2012-06-28,11,A,Staphylinidae,P3,A_11_P3,A
475,2012-06-28,11,A,Staphylinidae,P3,A_11_P3,A
476,2012-06-28,11,A,Staphylinidae,P3,A_11_P3,A
477,2012-06-28,11,A,Staphylinidae,P3,A_11_P3,A
478,2012-06-28,11,A,Staphylinidae,P3,A_11_P3,A
479,2012-06-28,11,A,Staphylinidae,P3,A_11_P3,A
480,2012-06-28,11,A,Staphylinidae,P3,A_11_P3,A
481,2012-06-17,12,A,Carabidae,P3,A_12_P3,A
482,2012-06-17,12,A,Leiodidae,P3,A_12_P3,A
483,2012-06-17,12,A,Leiodidae,P3,A_12_P3,A
484,2012-06-17,12,A,Curculionidae,P3,A_12_P3,A
487,2012-06-12,12,A,Curculionidae,P3,A_12_P3,A
488,2011-11-19,12,A,Staphylinidae,P2,A_12_P2,A
494,2011-11-02,12,A,Staphylinidae,P2,A_12_P2,A
495,2011-11-02,12,A,Staphylinidae,P2,A_12_P2,A
496,2011-11-02,12,A,Staphylinidae,P2,A_12_P2,A
497,2011-11-02,12,A,Staphylinidae,P2,A_12_P2,A
498,2011-11-02,12,A,Staphylinidae,P2,A_12_P2,A
499,2011-11-02,12,A,Staphylinidae,P2,A_12_P2,A
500,2011-11-02,12,A,Staphylinidae,P2,A_12_P2,A
501,2011-11-02,12,A,Staphylinidae,P2,A_12_P2,A
502,2011-11-02,12,A,Staphylinidae,P2,A_12_P2,A
503,2011-11-02,12,A,Staphylinidae,P2,A_12_P2,A
504,2011-11-02,12,A,Staphylinidae,P2,A_12_P2,A
505,2011-11-02,12,A,Staphylinidae,P2,A_12_P2,A
506,2011-11-02,12,A,Staphylinidae,P2,A_12_P2,A
507,2012-06-17,12,A,Staphylinidae,P3,A_12_P3,A
508,2012-06-17,12,A,Staphylinidae,P3,A_12_P3,A
509,2012-06-17,12,A,Staphylinidae,P3,A_12_P3,A
510,2012-06-17,12,A,Staphylinidae,P3,A_12_P3,A
511,2012-06-28,13,A,Carabidae,P3,A_13_P3,A
512,2012-06-28,13,A,Scarabaeidae,P3,A_13_P3,A
513,2012-06-28,13,A,Curculionidae,P3,A_13_P3,A
514,2012-06-28,13,A,Nitidulidae,P3,A_13_P3,A
