,census,plot,min,max,mid,difference,diff_yrs,step
D_2015-1-2015-2,2015-2,D,2015-05-20,2015-05-28,2015-05-24,1.0,0.0027397260273972603,2015-1-2015-2
D_2015-2-2015-3,2015-3,D,2015-05-21,2015-05-29,2015-05-25,1.0,0.0027397260273972603,2015-2-2015-3
D_2015-3-2015-4,2015-4,D,2015-05-22,2015-05-30,2015-05-26,1.0,0.0027397260273972603,2015-3-2015-4
D_2015-4-2015-5,2015-5,D,2015-05-23,2015-05-31,2015-05-27,1.0,0.0027397260273972603,2015-4-2015-5
,2015-6,D,2015-01-06,2015-05-24,2015-03-16,,,
D_2015-6-2015-7,2015-7,D,2015-02-06,2015-05-25,2015-04-01,16.0,0.043835616438356165,2015-6-2015-7
D_2015-7-2016-1,2016-1,D,2016-02-17,2016-02-25,2016-02-21,326.0,0.8931506849315068,2015-7-2016-1
D_2016-1-2016-2,2016-2,D,2016-02-18,2016-02-26,2016-02-22,1.0,0.0027397260273972603,2016-1-2016-2
D_2016-2-2016-3,2016-3,D,2016-02-19,2016-02-27,2016-02-23,1.0,0.0027397260273972603,2016-2-2016-3
D_2016-3-2016-4,2016-4,D,2016-02-20,2016-02-28,2016-02-24,1.0,0.0027397260273972603,2016-3-2016-4
D_2016-4-2016-5,2016-5,D,2016-02-21,2016-02-29,2016-02-25,1.0,0.0027397260273972603,2016-4-2016-5
,2016-6,D,2016-01-03,2016-02-22,2016-01-28,,,
D_2016-6-2016-7,2016-7,D,2016-02-03,2016-02-23,2016-02-13,16.0,0.043835616438356165,2016-6-2016-7
D_2016-7-2017-1,2017-1,D,2017-01-04,2017-07-03,2017-04-04,416.0,1.1397260273972603,2016-7-2017-1
D_2017-1-2017-2,2017-2,D,2017-02-04,2017-08-03,2017-05-05,31.0,0.08493150684931507,2017-1-2017-2
D_2017-2-2017-3,2017-3,D,2017-03-04,2017-09-03,2017-06-03,29.0,0.07945205479452055,2017-2-2017-3
D_2017-3-2017-4,2017-4,D,2017-04-04,2017-10-03,2017-07-04,31.0,0.08493150684931507,2017-3-2017-4
D_2017-4-2017-5,2017-5,D,2017-05-04,2017-11-03,2017-08-03,30.0,0.0821917808219178,2017-4-2017-5
D_2017-5-2017-6,2017-6,D,2017-06-04,2017-12-03,2017-09-03,31.0,0.08493150684931507,2017-5-2017-6
,2017-7,D,2017-03-13,2017-07-04,2017-05-08,,,
,2011-1,E,2011-02-12,2011-10-12,2011-06-13,,,
E_2011-1-2011-2,2011-2,E,2011-03-12,2011-11-12,2011-07-12,29.0,0.07945205479452055,2011-1-2011-2
,2011-3,E,2011-01-06,2011-12-12,2011-06-25,,,
E_2011-3-2011-4,2011-4,E,2011-02-06,2011-12-13,2011-07-11,16.0,0.043835616438356165,2011-3-2011-4
E_2011-4-2011-5,2011-5,E,2011-03-06,2011-12-14,2011-07-25,14.0,0.038356164383561646,2011-4-2011-5
E_2011-5-2011-6,2011-6,E,2011-04-06,2011-12-15,2011-08-10,16.0,0.043835616438356165,2011-5-2011-6
E_2011-6-2011-7,2011-7,E,2011-05-06,2011-12-16,2011-08-26,16.0,0.043835616438356165,2011-6-2011-7
E_2011-7-2012-1,2012-1,E,2012-01-17,2012-11-29,2012-06-23,302.0,0.8273972602739726,2011-7-2012-1
E_2012-1-2012-2,2012-2,E,2012-01-18,2012-11-30,2012-06-24,1.0,0.0027397260273972603,2012-1-2012-2
,2012-3,E,2012-01-12,2012-11-23,2012-06-18,,,
E_2012-3-2012-4,2012-4,E,2012-01-20,2012-11-24,2012-06-22,4.0,0.010958904109589041,2012-3-2012-4
E_2012-4-2012-5,2012-5,E,2012-01-21,2012-11-25,2012-06-23,1.0,0.0027397260273972603,2012-4-2012-5
E_2012-5-2012-6,2012-6,E,2012-01-22,2012-12-01,2012-06-27,4.0,0.010958904109589041,2012-5-2012-6
,2012-7,E,2012-01-13,2012-11-27,2012-06-20,,,
E_2012-7-2014-1,2014-1,E,2014-01-17,2014-09-01,2014-05-10,689.0,1.8876712328767122,2012-7-2014-1
E_2014-1-2014-2,2014-2,E,2014-01-18,2014-10-01,2014-05-26,16.0,0.043835616438356165,2014-1-2014-2
E_2014-2-2014-3,2014-3,E,2014-01-19,2014-11-01,2014-06-11,16.0,0.043835616438356165,2014-2-2014-3
E_2014-3-2014-4,2014-4,E,2014-01-20,2014-12-01,2014-06-26,15.0,0.0410958904109589,2014-3-2014-4
,2014-5,E,2014-01-13,2014-07-06,2014-04-10,,,
E_2014-5-2014-6,2014-6,E,2014-01-06,2014-08-06,2014-04-22,12.0,0.03287671232876712,2014-5-2014-6
E_2014-6-2014-7,2014-7,E,2014-01-15,2014-09-06,2014-05-12,20.0,0.0547945205479452,2014-6-2014-7
E_2014-7-2015-1,2015-1,E,2015-03-04,2015-09-07,2015-06-05,389.0,1.0657534246575342,2014-7-2015-1
E_2015-1-2015-2,2015-2,E,2015-03-26,2015-10-07,2015-07-01,26.0,0.07123287671232877,2015-1-2015-2
E_2015-2-2015-3,2015-3,E,2015-03-27,2015-11-07,2015-07-17,16.0,0.043835616438356165,2015-2-2015-3
E_2015-3-2015-4,2015-4,E,2015-03-28,2015-12-07,2015-08-02,16.0,0.043835616438356165,2015-3-2015-4
E_2015-4-2015-5,2015-5,E,2015-03-29,2015-12-07,2015-08-02,0.0,0.0,2015-4-2015-5
,2015-6,E,2015-03-30,2015-08-04,2015-06-01,,,
E_2015-6-2015-7,2015-7,E,2015-03-31,2015-09-04,2015-06-17,16.0,0.043835616438356165,2015-6-2015-7
E_2015-7-2016-1,2016-1,E,2015-06-30,2016-09-06,2016-02-02,230.0,0.6301369863013698,2015-7-2016-1
E_2016-1-2016-2,2016-2,E,2016-05-20,2016-10-06,2016-07-28,177.0,0.4849315068493151,2016-1-2016-2
E_2016-2-2016-3,2016-3,E,2016-05-21,2016-11-06,2016-08-13,16.0,0.043835616438356165,2016-2-2016-3
,2016-4,E,2016-01-07,2016-12-06,2016-06-22,,,
E_2016-4-2016-5,2016-5,E,2016-01-07,2016-12-06,2016-06-22,0.0,0.0,2016-4-2016-5
E_2016-5-2016-6,2016-6,E,2016-02-07,2016-12-05,2016-07-07,15.0,0.0410958904109589,2016-5-2016-6
E_2016-6-2016-7,2016-7,E,2016-03-07,2016-12-05,2016-07-21,14.0,0.038356164383561646,2016-6-2016-7
E_2016-7-2017-1,2017-1,E,2017-04-13,2017-09-08,2017-06-26,340.0,0.9315068493150684,2016-7-2017-1
E_2017-1-2017-2,2017-2,E,2017-04-14,2017-10-08,2017-07-11,15.0,0.0410958904109589,2017-1-2017-2
E_2017-2-2017-3,2017-3,E,2017-04-15,2017-11-08,2017-07-27,16.0,0.043835616438356165,2017-2-2017-3
,2017-4,E,2017-01-08,2017-12-08,2017-06-24,,,
,2017-5,E,2017-02-08,2017-10-06,2017-06-08,,,
E_2017-5-2017-6,2017-6,E,2017-03-08,2017-11-06,2017-07-07,29.0,0.07945205479452055,2017-5-2017-6
E_2017-6-2017-7,2017-7,E,2017-04-08,2017-12-06,2017-08-07,31.0,0.08493150684931507,2017-6-2017-7
,2011-1,F,2011-04-07,2011-12-08,2011-08-07,,,
,2011-2,F,2011-05-07,2011-08-13,2011-06-25,,,
F_2011-2-2011-3,2011-3,F,2011-06-07,2011-08-14,2011-07-11,16.0,0.043835616438356165,2011-2-2011-3
F_2011-3-2011-4,2011-4,F,2011-06-26,2011-08-15,2011-07-21,10.0,0.0273972602739726,2011-3-2011-4
F_2011-4-2011-5,2011-5,F,2011-06-27,2011-08-16,2011-07-22,1.0,0.0027397260273972603,2011-4-2011-5
F_2011-5-2011-6,2011-6,F,2011-06-28,2011-09-07,2011-08-02,11.0,0.030136986301369864,2011-5-2011-6
,2011-7,F,2011-01-08,2011-10-07,2011-05-24,,,
F_2011-7-2012-1,2012-1,F,2012-06-19,2012-11-07,2012-08-28,462.0,1.2657534246575342,2011-7-2012-1
,2012-13,F,2012-01-07,2012-01-07,2012-01-07,,,
F_2012-13-2012-14,2012-14,F,2012-02-07,2012-02-07,2012-02-07,31.0,0.08493150684931507,2012-13-2012-14
F_2012-14-2012-2,2012-2,F,2012-06-20,2012-09-07,2012-07-29,173.0,0.473972602739726,2012-14-2012-2
,2012-3,F,2012-05-07,2012-07-19,2012-06-12,,,
F_2012-3-2012-4,2012-4,F,2012-07-20,2012-07-20,2012-07-20,38.0,0.10410958904109589,2012-3-2012-4
,2012-8,F,2012-06-26,2012-06-26,2012-06-26,,,
F_2012-8-2012-9,2012-9,F,2012-06-27,2012-06-27,2012-06-27,1.0,0.0027397260273972603,2012-8-2012-9
,2011-1,O,2011-09-06,2011-12-05,2011-10-21,,,
,2011-2,O,2011-05-13,2011-10-06,2011-07-25,,,
O_2011-2-2011-3,2011-3,O,2011-05-14,2011-11-06,2011-08-10,16.0,0.043835616438356165,2011-2-2011-3
O_2011-3-2011-4,2011-4,O,2011-12-06,2011-12-06,2011-12-06,118.0,0.3232876712328767,2011-3-2011-4
,2011-5,O,2011-06-13,2011-06-13,2011-06-13,,,
O_2011-5-2011-6,2011-6,O,2011-06-14,2011-06-14,2011-06-14,1.0,0.0027397260273972603,2011-5-2011-6
O_2011-6-2011-7,2011-7,O,2011-06-15,2011-06-15,2011-06-15,1.0,0.0027397260273972603,2011-6-2011-7
O_2011-7-2013-1,2013-1,O,2013-09-15,2013-09-25,2013-09-20,828.0,2.2684931506849315,2011-7-2013-1
O_2013-1-2013-2,2013-2,O,2013-09-16,2013-09-26,2013-09-21,1.0,0.0027397260273972603,2013-1-2013-2
O_2013-2-2013-3,2013-3,O,2013-09-17,2013-09-27,2013-09-22,1.0,0.0027397260273972603,2013-2-2013-3
O_2013-3-2013-4,2013-4,O,2013-09-18,2013-09-28,2013-09-23,1.0,0.0027397260273972603,2013-3-2013-4
O_2013-4-2013-5,2013-5,O,2013-09-19,2013-09-29,2013-09-24,1.0,0.0027397260273972603,2013-4-2013-5
O_2013-5-2013-6,2013-6,O,2013-09-20,2013-09-30,2013-09-25,1.0,0.0027397260273972603,2013-5-2013-6
,2013-7,O,2013-01-10,2013-09-21,2013-05-17,,,
O_2013-7-2014-1,2014-1,O,2014-06-15,2014-06-22,2014-06-18,397.0,1.0876712328767124,2013-7-2014-1
O_2014-1-2014-2,2014-2,O,2014-06-16,2014-06-23,2014-06-19,1.0,0.0027397260273972603,2014-1-2014-2
O_2014-2-2014-3,2014-3,O,2014-06-17,2014-06-24,2014-06-20,1.0,0.0027397260273972603,2014-2-2014-3
O_2014-3-2014-4,2014-4,O,2014-06-18,2014-06-25,2014-06-21,1.0,0.0027397260273972603,2014-3-2014-4
O_2014-4-2014-5,2014-5,O,2014-06-19,2014-06-26,2014-06-22,1.0,0.0027397260273972603,2014-4-2014-5
O_2014-5-2014-6,2014-6,O,2014-06-20,2014-06-27,2014-06-23,1.0,0.0027397260273972603,2014-5-2014-6
O_2014-6-2014-7,2014-7,O,2014-06-21,2014-06-28,2014-06-24,1.0,0.0027397260273972603,2014-6-2014-7
O_2014-7-2015-1,2015-1,O,2015-04-30,2015-08-05,2015-06-17,358.0,0.9808219178082191,2014-7-2015-1
,2015-2,O,2015-01-05,2015-09-05,2015-05-06,,,
O_2015-2-2015-3,2015-3,O,2015-02-05,2015-10-05,2015-06-06,31.0,0.08493150684931507,2015-2-2015-3
O_2015-3-2015-4,2015-4,O,2015-03-05,2015-11-05,2015-07-05,29.0,0.07945205479452055,2015-3-2015-4
O_2015-4-2015-5,2015-5,O,2015-04-05,2015-12-05,2015-08-05,31.0,0.08493150684931507,2015-4-2015-5
,2015-6,O,2015-05-05,2015-05-13,2015-05-09,,,
O_2015-6-2015-7,2015-7,O,2015-05-14,2015-06-05,2015-05-25,16.0,0.043835616438356165,2015-6-2015-7
O_2015-7-2016-1,2016-1,O,2016-03-25,2016-05-04,2016-04-14,325.0,0.8904109589041096,2015-7-2016-1
O_2016-1-2016-2,2016-2,O,2016-03-26,2016-06-04,2016-04-30,16.0,0.043835616438356165,2016-1-2016-2
O_2016-2-2016-3,2016-3,O,2016-03-27,2016-07-04,2016-05-15,15.0,0.0410958904109589,2016-2-2016-3
O_2016-3-2016-4,2016-4,O,2016-03-28,2016-08-04,2016-05-31,16.0,0.043835616438356165,2016-3-2016-4
O_2016-4-2016-5,2016-5,O,2016-03-29,2016-09-04,2016-06-16,16.0,0.043835616438356165,2016-4-2016-5
O_2016-5-2016-6,2016-6,O,2016-03-30,2016-10-04,2016-07-02,16.0,0.043835616438356165,2016-5-2016-6
O_2016-6-2016-7,2016-7,O,2016-03-31,2016-11-04,2016-07-18,16.0,0.043835616438356165,2016-6-2016-7
