"","date","trap_N","block","family"
"210","02/11/11",5,"A","Staphylinidae"
"211","17/06/12",5,"A","Staphylinidae"
"212","17/06/12",5,"A","Staphylinidae"
"213","17/06/12",5,"A","Staphylinidae"
"214","17/06/12",5,"A","Staphylinidae"
"215","17/06/12",5,"A","Staphylinidae"
"216","17/06/12",5,"A","Staphylinidae"
"217","17/06/12",5,"A","Staphylinidae"
"218","17/06/12",5,"A","Staphylinidae"
"219","17/06/12",5,"A","Staphylinidae"
"220","17/06/12",5,"A","Staphylinidae"
"221","17/06/12",6,"A","Staphylinidae"
"222","17/06/12",6,"A","Clambidae"
"223","17/06/12",6,"A","Leptodiridae"
"224","17/06/12",6,"A","Leptodiridae"
"225","17/06/12",6,"A","Leiodidae"
"226","17/06/12",6,"A","Leiodidae"
"227","17/06/12",6,"A","Biphyllidae"
"228","17/06/12",6,"A","Biphyllidae"
"229","17/06/12",6,"A","Scarabaeidae"
"230","02/03/13",6,"A","Nitidulidae"
"231","02/03/13",6,"A","Carabidae"
"232","02/03/13",6,"A","Leiodidae"
"233","02/03/13",6,"A","Tenebrionidae"
"234","02/03/13",6,"A","Curculionidae"
"235","17/06/12",6,"A","Curculionidae"
"236","19/11/11",6,"A","Carabidae"
"237","19/11/11",6,"A","Staphylinidae"
"239","22/02/11",6,"A","Staphylinidae"
"240","22/02/11",6,"A","Staphylinidae"
"241","22/02/11",6,"A","Staphylinidae"
"242","22/02/11",6,"A","Staphylinidae"
"243","02/11/11",6,"A","Staphylinidae"
"244","02/11/11",6,"A","Staphylinidae"
"245","02/11/11",6,"A","Staphylinidae"
"246","02/11/11",6,"A","Staphylinidae"
"247","02/11/11",6,"A","Staphylinidae"
"248","02/11/11",6,"A","Staphylinidae"
"249","02/11/11",6,"A","Staphylinidae"
"250","02/11/11",6,"A","Staphylinidae"
"251","02/11/11",6,"A","Staphylinidae"
"252","02/11/11",6,"A","Staphylinidae"
"253","02/11/11",6,"A","Staphylinidae"
"254","02/11/11",6,"A","Staphylinidae"
"255","02/11/11",6,"A","Staphylinidae"
"256","17/06/12",6,"A","Staphylinidae"
"257","17/06/12",6,"A","Staphylinidae"
"258","17/06/12",6,"A","Staphylinidae"
"259","17/06/12",6,"A","Staphylinidae"
"260","17/06/12",6,"A","Staphylinidae"
"261","17/06/12",6,"A","Staphylinidae"
"262","17/06/12",6,"A","Staphylinidae"
"263","17/06/12",7,"A","Hydrophilidae"
"264","17/06/12",7,"A","Leiodidae"
"265","17/06/12",7,"A","Curculionidae"
"266","17/06/12",7,"A","Curculionidae"
"267","17/06/12",7,"A","Curculionidae"
"268","02/03/13",7,"A","Curculionidae"
"269","19/11/11",7,"A","Zopheridae"
"270","19/11/11",7,"A","Scarabaeidae"
"271","19/11/11",7,"A","Staphylinidae"
"272","19/11/11",7,"A","Curculionidae"
"273","02/11/11",7,"A","Staphylinidae"
"274","02/11/11",7,"A","Staphylinidae"
"275","02/11/11",7,"A","Staphylinidae"
"276","02/11/11",7,"A","Staphylinidae"
"277","02/11/11",7,"A","Staphylinidae"
"278","02/11/11",7,"A","Staphylinidae"
"279","02/11/11",7,"A","Staphylinidae"
"280","02/11/11",7,"A","Staphylinidae"
"281","02/11/11",7,"A","Staphylinidae"
"282","02/11/11",7,"A","Staphylinidae"
"283","02/11/11",7,"A","Staphylinidae"
"284","02/11/11",7,"A","Staphylinidae"
"285","02/11/11",7,"A","Staphylinidae"
"286","17/06/12",7,"A","Staphylinidae"
"287","17/06/12",7,"A","Staphylinidae"
"288","17/06/12",7,"A","Staphylinidae"
"289","17/06/12",7,"A","Staphylinidae"
"290","17/06/12",7,"A","Staphylinidae"
"291","17/06/12",7,"A","Staphylinidae"
"292","17/06/12",7,"A","Staphylinidae"
"293","17/06/12",7,"A","Staphylinidae"
"294","17/06/12",8,"A","Staphylinidae"
"295","17/06/12",8,"A","Mordelidae"
"296","02/03/13",8,"A","Curculionidae"
"297","02/03/13",8,"A","Scarabaeidae"
"298","02/03/13",8,"A","Scarabaeidae"
"299","02/03/13",8,"A","Curculionidae"
"300","02/03/13",8,"A","Curculionidae"
"301","02/03/13",8,"A","Carabidae"
"302","02/03/13",8,"A","Staphylinidae"
"303","22/02/11",8,"A","Leiodidae"
"304","22/02/11",8,"A","Staphylinidae"
"305","19/11/11",8,"A","Scarabaeidae"
"306","19/11/11",8,"A","Scarabaeidae"
"307","19/11/11",8,"A","Scarabaeidae"
"308","19/11/11",8,"A","Chrysomelidae"
"309","02/11/11",8,"A","Staphylinidae"
"310","02/11/11",8,"A","Staphylinidae"
"311","02/11/11",8,"A","Staphylinidae"
"312","02/11/11",8,"A","Staphylinidae"
"313","02/11/11",8,"A","Staphylinidae"
"314","02/11/11",8,"A","Staphylinidae"
"315","02/11/11",8,"A","Staphylinidae"
"316","02/11/11",8,"A","Staphylinidae"
"317","02/11/11",8,"A","Staphylinidae"
"318","02/11/11",8,"A","Staphylinidae"
"319","02/11/11",8,"A","Staphylinidae"
"320","02/11/11",8,"A","Staphylinidae"
"321","02/11/11",8,"A","Staphylinidae"
"322","17/06/12",8,"A","Staphylinidae"
"323","17/06/12",8,"A","Staphylinidae"
"324","17/06/12",8,"A","Staphylinidae"
"325","17/06/12",8,"A","Staphylinidae"
"326","17/06/12",9,"A","Carabidae"
"327","17/06/12",9,"A","Leiodidae"
"328","17/06/12",9,"A","Leiodidae"
"329","17/06/12",9,"A","Leiodidae"
"330","17/06/12",9,"A","Leiodidae"
"331","17/06/12",9,"A","Staphylinidae"
"332","17/06/12",9,"A","Geotrupidae"
"333","17/06/12",9,"A","Curculionidae"
"334","17/06/12",9,"A","Curculionidae"
"336","02/11/11",9,"A","Staphylinidae"
"337","02/11/11",9,"A","Staphylinidae"
"338","02/11/11",9,"A","Staphylinidae"
"339","02/11/11",9,"A","Staphylinidae"
"340","02/11/11",9,"A","Staphylinidae"
"341","02/11/11",9,"A","Staphylinidae"
"342","02/11/11",9,"A","Staphylinidae"
"343","02/11/11",9,"A","Staphylinidae"
"344","02/11/11",9,"A","Staphylinidae"
"345","02/11/11",9,"A","Staphylinidae"
"346","02/11/11",9,"A","Staphylinidae"
"347","02/11/11",9,"A","Staphylinidae"
"348","02/11/11",9,"A","Staphylinidae"
"349","17/06/12",9,"A","Staphylinidae"
"350","17/06/12",10,"A","Carabidae"
"351","17/06/12",10,"A","Clambidae"
"352","17/06/12",10,"A","Cleridae"
"353","17/06/12",10,"A","Leptodiridae"
"354","17/06/12",10,"A","Nitidulidae"
"355","17/06/12",10,"A","Nitidulidae"
"356","17/06/12",10,"A","Nitidulidae"
"357","17/06/12",10,"A","Buprestidae"
"358","17/06/12",10,"A","Limnichidae"
"359","17/06/12",10,"A","Scarabaeidae"
"360","17/06/12",10,"A","Curculionidae"
"361","17/06/12",10,"A","Curculionidae"
"362","17/06/12",10,"A","Curculionidae"
"363","17/06/12",10,"A","Curculionidae"
"364","17/06/12",10,"A","Curculionidae"
"365","17/06/12",10,"A","Curculionidae"
"366","17/06/12",10,"A","Curculionidae"
"367","02/03/13",10,"A","Nitidulidae"
"368","02/03/13",10,"A","Staphylinidae"
"369","02/03/13",10,"A","Anthicidae"
"370","02/03/13",10,"A","Clambidae"
"371","02/03/13",10,"A","Leptodiridae"
"372","02/03/13",10,"A","Leiodidae"
"373","02/03/13",10,"A","Leiodidae"
"374","17/06/12",10,"A","Cleridae"
"375","22/02/11",10,"A","Anthicidae"
"376","22/02/11",10,"A","Curculionidae"
"377","19/11/11",10,"A","Elateridae"
"378","19/11/11",10,"A","Dytiscidae"
"379","19/11/11",10,"A","Staphylinidae"
"380","19/11/11",10,"A","Staphylinidae"
"383","22/02/11",10,"A","Staphylinidae"
"384","22/02/11",10,"A","Staphylinidae"
"385","22/02/11",10,"A","Staphylinidae"
"386","22/02/11",10,"A","Staphylinidae"
"387","22/02/11",10,"A","Staphylinidae"
"388","22/02/11",10,"A","Staphylinidae"
"389","22/02/11",10,"A","Staphylinidae"
"390","22/02/11",10,"A","Staphylinidae"
"391","22/02/11",10,"A","Staphylinidae"
"392","22/02/11",10,"A","Staphylinidae"
"393","22/02/11",10,"A","Staphylinidae"
"394","22/02/11",10,"A","Staphylinidae"
"395","22/02/11",10,"A","Staphylinidae"
"396","22/02/11",10,"A","Staphylinidae"
"397","22/02/11",10,"A","Staphylinidae"
"398","22/02/11",10,"A","Staphylinidae"
"399","22/02/11",10,"A","Staphylinidae"
"400","02/11/11",10,"A","Staphylinidae"
"401","02/11/11",10,"A","Staphylinidae"
"402","02/11/11",10,"A","Staphylinidae"
"403","02/11/11",10,"A","Staphylinidae"
"404","02/11/11",10,"A","Staphylinidae"
"405","02/11/11",10,"A","Staphylinidae"
"406","02/11/11",10,"A","Staphylinidae"
"407","02/11/11",10,"A","Staphylinidae"
"408","02/11/11",10,"A","Staphylinidae"
"409","02/11/11",10,"A","Staphylinidae"
"410","02/11/11",10,"A","Staphylinidae"
"411","02/11/11",10,"A","Staphylinidae"
"412","02/11/11",10,"A","Staphylinidae"
"413","19/11/11",10,"A","Staphylinidae"
"414","19/11/11",10,"A","Staphylinidae"
"415","19/11/11",10,"A","Staphylinidae"
"416","19/11/11",10,"A","Staphylinidae"
"417","19/11/11",10,"A","Staphylinidae"
"418","28/06/12",10,"A","Staphylinidae"
"419","28/06/12",10,"A","Staphylinidae"
"420","28/06/12",10,"A","Staphylinidae"
"421","28/06/12",10,"A","Staphylinidae"
"422","28/06/12",10,"A","Staphylinidae"
"423","28/06/12",10,"A","Staphylinidae"
"424","28/06/12",10,"A","Staphylinidae"
"425","28/06/12",10,"A","Staphylinidae"
"426","28/06/12",10,"A","Staphylinidae"
"427","28/06/12",10,"A","Staphylinidae"
"428","28/06/12",10,"A","Staphylinidae"
"429","28/06/12",10,"A","Staphylinidae"
"430","28/06/12",10,"A","Staphylinidae"
"431","28/06/12",10,"A","Staphylinidae"
"432","28/06/12",10,"A","Staphylinidae"
"433","28/06/12",10,"A","Staphylinidae"
"434","28/06/12",10,"A","Staphylinidae"
"435","28/06/12",10,"A","Staphylinidae"
"436","28/06/12",10,"A","Staphylinidae"
"437","17/06/12",11,"A","Staphylinidae"
"438","17/06/12",11,"A","Leiodidae"
"439","17/06/12",11,"A","Leptodiridae"
"440","17/06/12",11,"A","Leptodiridae"
"441","17/06/12",11,"A","Curculionidae"
"442","17/06/12",11,"A","Curculionidae"
"443","17/06/12",11,"A","Curculionidae"
"444","02/03/13",11,"A","Staphylinidae"
"452","02/03/13",11,"A","Cerambycidae"
"453","02/11/11",11,"A","Staphylinidae"
"454","02/11/11",11,"A","Staphylinidae"
"455","02/11/11",11,"A","Staphylinidae"
"456","02/11/11",11,"A","Staphylinidae"
"457","02/11/11",11,"A","Staphylinidae"
"458","02/11/11",11,"A","Staphylinidae"
"459","02/11/11",11,"A","Staphylinidae"
"460","02/11/11",11,"A","Staphylinidae"
"461","02/11/11",11,"A","Staphylinidae"
"462","02/11/11",11,"A","Staphylinidae"
"463","02/11/11",11,"A","Staphylinidae"
"464","02/11/11",11,"A","Staphylinidae"
"465","02/11/11",11,"A","Staphylinidae"
"466","28/06/12",11,"A","Staphylinidae"
"467","28/06/12",11,"A","Staphylinidae"
"468","28/06/12",11,"A","Staphylinidae"
"469","28/06/12",11,"A","Staphylinidae"
"470","28/06/12",11,"A","Staphylinidae"
"471","28/06/12",11,"A","Staphylinidae"
"472","28/06/12",11,"A","Staphylinidae"
"473","28/06/12",11,"A","Staphylinidae"
"474","28/06/12",11,"A","Staphylinidae"
"475","28/06/12",11,"A","Staphylinidae"
"476","28/06/12",11,"A","Staphylinidae"
"477","28/06/12",11,"A","Staphylinidae"
"478","28/06/12",11,"A","Staphylinidae"
"479","28/06/12",11,"A","Staphylinidae"
"480","28/06/12",11,"A","Staphylinidae"
"481","17/06/12",12,"A","Carabidae"
"482","17/06/12",12,"A","Leiodidae"
"483","17/06/12",12,"A","Leiodidae"
"484","17/06/12",12,"A","Curculionidae"
"485","02/03/13",12,"A","Endomychidae"
"486","02/03/13",12,"A","Curculionidae"
"487","12/06/12",12,"A","Curculionidae"
"488","19/11/11",12,"A","Staphylinidae"
"494","02/11/11",12,"A","Staphylinidae"
"495","02/11/11",12,"A","Staphylinidae"
"496","02/11/11",12,"A","Staphylinidae"
"497","02/11/11",12,"A","Staphylinidae"
"498","02/11/11",12,"A","Staphylinidae"
"499","02/11/11",12,"A","Staphylinidae"
"500","02/11/11",12,"A","Staphylinidae"
"501","02/11/11",12,"A","Staphylinidae"
"502","02/11/11",12,"A","Staphylinidae"
"503","02/11/11",12,"A","Staphylinidae"
"504","02/11/11",12,"A","Staphylinidae"
"505","02/11/11",12,"A","Staphylinidae"
"506","02/11/11",12,"A","Staphylinidae"
"507","17/06/12",12,"A","Staphylinidae"
"508","17/06/12",12,"A","Staphylinidae"
"509","17/06/12",12,"A","Staphylinidae"
"510","17/06/12",12,"A","Staphylinidae"
"511","28/06/12",13,"A","Carabidae"
"512","28/06/12",13,"A","Scarabaeidae"
"513","28/06/12",13,"A","Curculionidae"
"514","28/06/12",13,"A","Nitidulidae"
"515","28/06/12",13,"A","Staphylinidae"
"516","28/06/12",13,"A","Leptodiridae"
"517","28/06/12",13,"A","Elateridae"
"518","20/11/11",13,"A","Scarabaeidae"
"519","02/11/11",13,"A","Staphylinidae"
"520","02/11/11",13,"A","Staphylinidae"
"521","02/11/11",13,"A","Staphylinidae"
"522","02/11/11",13,"A","Staphylinidae"
"523","02/11/11",13,"A","Staphylinidae"
"524","02/11/11",13,"A","Staphylinidae"
"525","02/11/11",13,"A","Staphylinidae"
"526","02/11/11",13,"A","Staphylinidae"
"527","02/11/11",13,"A","Staphylinidae"
"528","02/11/11",13,"A","Staphylinidae"
"529","02/11/11",13,"A","Staphylinidae"
"530","02/11/11",13,"A","Staphylinidae"
"531","02/11/11",13,"A","Staphylinidae"
"532","28/06/12",13,"A","Staphylinidae"
"533","28/06/12",13,"A","Staphylinidae"
"534","28/06/12",13,"A","Staphylinidae"
"535","28/06/12",14,"A","Staphylinidae"
"536","02/11/11",14,"A","Staphylinidae"
"537","02/11/11",14,"A","Staphylinidae"
"538","02/11/11",14,"A","Staphylinidae"
"539","02/11/11",14,"A","Staphylinidae"
"540","02/11/11",14,"A","Staphylinidae"
"541","02/11/11",14,"A","Staphylinidae"
"542","02/11/11",14,"A","Staphylinidae"
"543","02/11/11",14,"A","Staphylinidae"
"544","02/11/11",14,"A","Staphylinidae"
"545","02/11/11",14,"A","Staphylinidae"
"546","02/11/11",14,"A","Staphylinidae"
"547","02/11/11",14,"A","Staphylinidae"
"548","02/11/11",14,"A","Staphylinidae"
"549","28/06/12",14,"A","Staphylinidae"
"550","28/06/12",15,"A","Carabidae"
"551","28/06/12",15,"A","Nitidulidae"
"552","28/06/12",15,"A","Staphylinidae"
"553","28/06/12",15,"A","Hybosoridae"
"554","28/06/12",15,"A","Scirtidae"
"555","28/06/12",15,"A","Curculionidae"
"556","28/06/12",15,"A","Curculionidae"
"557","20/11/11",15,"A","Anthribidae"
"558","02/11/11",15,"A","Staphylinidae"
"559","02/11/11",15,"A","Staphylinidae"
"560","02/11/11",15,"A","Staphylinidae"
"561","02/11/11",15,"A","Staphylinidae"
"562","02/11/11",15,"A","Staphylinidae"
"563","02/11/11",15,"A","Staphylinidae"
"564","02/11/11",15,"A","Staphylinidae"
"565","02/11/11",15,"A","Staphylinidae"
"566","02/11/11",15,"A","Staphylinidae"
"567","02/11/11",15,"A","Staphylinidae"
"568","02/11/11",15,"A","Staphylinidae"
"569","02/11/11",15,"A","Staphylinidae"
"570","02/11/11",15,"A","Staphylinidae"
"571","28/06/12",15,"A","Staphylinidae"
"572","28/06/12",15,"A","Staphylinidae"
"573","28/06/12",15,"A","Staphylinidae"
"574","28/06/12",15,"A","Staphylinidae"
"575","28/06/12",16,"A","Hybosoridae"
"576","20/11/11",16,"A","Carabidae"
"577","20/11/11",16,"A","Scarabaeidae"
"578","20/11/11",16,"A","Curculionidae"
"579","20/11/11",16,"A","Chrysomelidae"
"580","02/11/11",16,"A","Staphylinidae"
"581","02/11/11",16,"A","Staphylinidae"
"582","02/11/11",16,"A","Staphylinidae"
"583","02/11/11",16,"A","Staphylinidae"
"584","02/11/11",16,"A","Staphylinidae"
"585","02/11/11",16,"A","Staphylinidae"
"586","02/11/11",16,"A","Staphylinidae"
"587","02/11/11",16,"A","Staphylinidae"
"588","02/11/11",16,"A","Staphylinidae"
"589","02/11/11",16,"A","Staphylinidae"
"590","02/11/11",16,"A","Staphylinidae"
"591","02/11/11",16,"A","Staphylinidae"
"592","02/11/11",16,"A","Staphylinidae"
"593","28/06/12",17,"A","Carabidae"
"594","20/11/11",17,"A","Carabidae"
"595","20/11/11",17,"A","Carabidae"
"596","20/11/11",17,"A","Carabidae"
"597","20/11/11",17,"A","Erotylidae"
"598","02/11/11",17,"A","Staphylinidae"
"599","02/11/11",17,"A","Staphylinidae"
"600","02/11/11",17,"A","Staphylinidae"
"601","02/11/11",17,"A","Staphylinidae"
"602","02/11/11",17,"A","Staphylinidae"
"603","02/11/11",17,"A","Staphylinidae"
"604","02/11/11",17,"A","Staphylinidae"
"605","02/11/11",17,"A","Staphylinidae"
"606","02/11/11",17,"A","Staphylinidae"
"607","02/11/11",17,"A","Staphylinidae"
"608","02/11/11",17,"A","Staphylinidae"
"609","02/11/11",17,"A","Staphylinidae"
"610","02/11/11",17,"A","Staphylinidae"
"611","28/06/12",18,"A","Chrysomelidae"
"612","28/06/12",18,"A","Biphyllidae"
"613","28/06/12",18,"A","Scarabaeidae"
"614","20/11/11",18,"A","Scarabaeidae"
"615","02/11/11",18,"A","Staphylinidae"
"616","02/11/11",18,"A","Staphylinidae"
"617","02/11/11",18,"A","Staphylinidae"
"618","02/11/11",18,"A","Staphylinidae"
"619","02/11/11",18,"A","Staphylinidae"
"620","02/11/11",18,"A","Staphylinidae"
"621","02/11/11",18,"A","Staphylinidae"
"622","02/11/11",18,"A","Staphylinidae"
"623","02/11/11",18,"A","Staphylinidae"
"624","02/11/11",18,"A","Staphylinidae"
"625","02/11/11",18,"A","Staphylinidae"
"626","02/11/11",18,"A","Staphylinidae"
"627","02/11/11",18,"A","Staphylinidae"
"628","28/06/12",19,"A","Eucnemidae"
"629","20/11/11",19,"A","Scarabaeidae"
"630","20/11/11",19,"A","Scarabaeidae"
"631","02/11/11",19,"A","Staphylinidae"
"632","02/11/11",19,"A","Staphylinidae"
"633","02/11/11",19,"A","Staphylinidae"
"634","02/11/11",19,"A","Staphylinidae"
"635","02/11/11",19,"A","Staphylinidae"
"636","02/11/11",19,"A","Staphylinidae"
"637","02/11/11",19,"A","Staphylinidae"
"638","02/11/11",19,"A","Staphylinidae"
"639","02/11/11",19,"A","Staphylinidae"
"640","02/11/11",19,"A","Staphylinidae"
"641","02/11/11",19,"A","Staphylinidae"
"642","02/11/11",19,"A","Staphylinidae"
"643","02/11/11",19,"A","Staphylinidae"
"644","28/06/12",20,"A","Brentidae"
"645","28/06/12",20,"A","Curculionidae"
"646","02/11/11",20,"A","Staphylinidae"
"647","02/11/11",20,"A","Staphylinidae"
"648","02/11/11",20,"A","Staphylinidae"
"649","02/11/11",20,"A","Staphylinidae"
"650","02/11/11",20,"A","Staphylinidae"
"651","02/11/11",20,"A","Staphylinidae"
"652","02/11/11",20,"A","Staphylinidae"
"653","02/11/11",20,"A","Staphylinidae"
"654","02/11/11",20,"A","Staphylinidae"
"655","02/11/11",20,"A","Staphylinidae"
"656","02/11/11",20,"A","Staphylinidae"
"657","02/11/11",20,"A","Staphylinidae"
"658","20/11/11",20,"A","Staphylinidae"
"659","20/11/11",20,"A","Staphylinidae"
"660","28/06/12",20,"A","Staphylinidae"
"661","28/06/12",21,"A","Anthicidae"
"662","28/06/12",21,"A","Zopheridae"
"663","28/06/12",21,"A","Elateridae"
"664","28/06/12",21,"A","Curculionidae"
"665","28/06/12",21,"A","Leiodidae"
"666","28/06/12",21,"A","Dryopidae"
