Occasion ,Date,Trap ID,Species,N/R,Tag no.,Age,Sex,Sexing Notes,HF,E,AGD,HB,T,Tail % of HB,MZ,Bag Weight (g),Gross Weight,Net Weight,Parasites,Fat Score,Injuries ,Dead,Tissue Sample ID,Parasite Sample ID,Fur Sample ID,Faecal Sample 1,Faecal Sample 2,Processor,Who Baited,Flagged
E100-1-2014-5,07/06/2014,E100-1-5B,RS,R,O41868E368,SA,M,,,,,,,,,,,,,,,,,,,,,Jess,Melvin,
E100-1-2014-5,07/06/2014,E100-1-47A,SS,N,O41868E6OD,SA,M,Start of balls visible as pink swelling,26.7,17.6,14.1,,,,,17,75,58,52,,,,1092,337,203,,,Jess,Siun,
E100-1-2014-5,07/06/2014,E100-1-38A,CTRS,N,O41868F997,SA,M,Penis obvious but balls appeared very small hence SA? Classification. EDIT by ORW: Was this in fact a female? ,48.1,,,178.1,184.1,,31.5,17,148,131,0,,,,,,204,,,Jess,Siun,
E100-1-2014-5,07/06/2014,E100-1-37A,SS,R,O41869O56O,SA,F,,,,,,,,,,,,,,,,,,,,,Jess,Siun,
E100-1-2014-5,07/06/2014,E100-1-18A,RS,R,,,,,,,,,,,,,,,,,,,,,,,,Jess,Jess,ESCAPED
E100-1-2014-5,07/06/2014,E100-1-37B,LGTRS,N,,,,,,,,,,,,,,,,,,,,,,,,,Siun,ESCAPED
E100-1-2014-6,08/06/2014,E100-1-13A,LSQ,N,O416DA1DAD,A,M,Balls obvious,30.1,,,137.9,96,,,16,122,106,0,,,,,,207,,,Jess,Siun,
E100-1-2014-6,08/06/2014,E100-1-6B,LTG,R,O417O67OC8,A,M,,,,,,,,,,,,,,,,,,,,,,Siun,
E100-1-2014-6,08/06/2014,E100-1-47A,LSQ,N,O41868DAD1,A,F,Perforated and mammae visible.,34.3,,,120.05,102.1,,,15,98,83,0,,"Four patches which had no fur at all; two on the shoulders and two larger ones at the top of each hind limb. The skin on show was discoloured a blotchy yellow/orange/red, more so on the hind limb patches. Have photos – the areas look exactly the same as those seen on the two males on 06/06/14, although they were from the other end of the grid.",,,,,,,Jess,Jess,
E100-1-2014-6,08/06/2014,E100-1-17B,RS,R,O41868E13B,SA,F,,,,,,,,,,,,,,Top of nose scraped.,,,,,,,Jess,Melvin,
E100-1-2014-6,08/06/2014,E100-1-42B,RS,R,O41868E333,A,M,,,,,,,,,,,,,,,,,,,,,Jess,Jess,
E100-1-2014-6,08/06/2014,E100-1-24A,WH,R,O41868E378,A,M,,,,,,,,,,,,,,,,,,,,,Jess,Melvin,
E100-1-2014-6,08/06/2014,E100-1-38B,SS,R,O41869O56O,SA,F,,,,,,,,,,,,,,,,,,,,,Jess,Jess,
E100-1-2014-7,09/06/2014,E100-1-40A,SS,R,O4178C4864,SA,M,,,,,,,,,,,,,,,,,,,,,Jess,Melvin,
E100-1-2014-7,09/06/2014,E100-1-21A,RS,R,O4178C57D9,A,M,,,,,,,,,,,,,,,,,,,,,Jess,Siun,
E100-1-2014-7,09/06/2014,E100-1-29A,LGTRS,N,O41868BFD2,A,F,Perforated and mammae obvious. I think pregnant as belly seemed very swollen.,45.1,,,169.3,180.4,,40.5,16,232,216,0,,,,,,208,,,Jess,Siun,
E100-1-2014-7,09/06/2014,E100-1-44B,SS,R,O41868D52F,SA,M,,,,,,,,,,,,,,,,,,,,,Jess,Melvin,
E100-1-2014-7,09/06/2014,E100-1-43B,LGTRS,N,O41868DE55,A,M,Balls obvious,42.3,,,199.4,173.1,,43.5,16,230,214,0,,Scrape on top of muzzle.,,,,209,,,Jess,Melvin,
E100-1-2014-7,09/06/2014,E100-1-45B,RS,R,O41868DE6A,A,M,,,,,,,,,,,,,,,,,,,,,Jess,Melvin,
E100-1-2014-7,09/06/2014,E100-1-19A,SS,R,O41869O4BB,SA,M,,,,,,,,,,,,,,"Noticed right eye was slightly squinty and less wide than the other, but didn't look damaged or infected.",,,,,,,Jess,Siun,
E100-1-2015-1,14/06/2015,E100-1-25B,WH,N,O41868D965,SA,F,Not perforated,25.35,19,8.8,,,,,19,292,273,,,,,PT292,,,,,Jess,Jess/Amat/Wosh,
E100-1-2015-1,14/06/2015,E100-1-30B,WH,N,O41868E1F2,SA,F,Unperforated,25.1,17.75,6.3,,,,,19,51,32,,,,,PT300,,,,,Jess,Jess/Amat/Wosh,
E100-1-2015-1,14/06/2015,E100-1-11B,RS,R,O41868EE39,A,M,,,,,,,,,,,,,,,,,,,,,Sabri,Zosia/Phil/Sanni,
E100-1-2015-1,14/06/2015,E100-1-15B,RS,R,O41868FO5O,SA,F,,,,,,,,,,,,,,,,,,,,,Sabri,Zosia/Phil/Sanni,
E100-1-2015-1,14/06/2015,E100-1-10A,SS,R,O41869O4BB,A,M,,,,,,,,,,,,,,,,,,,,,Sabri,Zosia/Phil/Sanni,
E100-1-2015-1,14/06/2015,E100-1-40A,SS,N,O418EB849F,A,F,Perforated  ,26.3,19.7,9.6,,,,,19,68,49,,,Tail stump only,,PT299,,,,,Jess,Jess/Amat/Wosh,
E100-1-2015-1,14/06/2015,E100-1-42B,SS,N,O418EB8FF3,SA,M,Start of balls,25.35,16.7,13,,,,,19,64,45,,,Tail only stump – old wound,,PT295,,,,,Jess,Jess/Amat/Wosh,
E100-1-2015-1,14/06/2015,E100-1-43A,SS,N,O418EB9693,SA,M,Start of balls,27,17.65,12.95,,,,,19,78,59,,,,,PT296,,,,,Jess,Jess/Amat/Wosh,
E100-1-2015-1,14/06/2015,E100-1-36B,DTT,N,O418EBA714,A,M,Balls,27.85,16.55,20.3,,,,,19,98,79,,,,,PT301,,,,,Jess,Jess/Amat/Wosh,
E100-1-2015-1,14/06/2015,E100-1-45B,RS,N,O418EBB1AF,A,M,Enormous balls,40.35,26.9,21.25,,,,,19,169,150,,,,,PT297,,,,,Jess,Jess/Amat/Wosh,
E100-1-2015-1,14/06/2015,E100-1-23B,SS,N,O418EBC64O,SA,F,Not perforated,25.3,18.3,9.5,,,,,19,70,51,,,,,PT294,,,,,Jess,Zosia/Phil/Sanni,
E100-1-2015-1,14/06/2015,E100-1-37A,WH,N,O418EBC93A,SA,M,Epididymal pouch but no balls yet,26.75,16,11.85,,,,,19,57,38,,,,,PT298,,,,,Jess,Jess/Amat/Wosh,
E100-1-2015-1,14/06/2015,E100-1-19B,RS,N,O418EBCB83,A,M,Balls,40.4,25.3,22.3,,,,,19,191,172,,,,,PT291,,,,,Jess,Zosia/Phil/Sanni,
E100-1-2015-1,14/06/2015,E100-1-24A,WH,N,O418EBCF3A,A,M,Balls,27.3,16.5,14.8,,,,,19,65,46,,,Skin on half tail missing,,PT293,,,,,Jess,Zosia/Phil/Sanni,
E100-1-2015-2,15/06/2015,E100-1-40B,WH,N,NewDead5,SA,F,Unperf,26.6,19.2,8.15,,,,,18,53,35,15,,,Died in ether,,,,,Z121,Jess,Jess,
E100-1-2015-2,15/06/2015,E100-1-20A,LSQ,N,O41781B38F,A,F,Perf & mammae visible,31.55,,,139.3,80.8,58,,18,112,94,1,,,,,,PF136,,Z114,Jess,Sabri,
E100-1-2015-2,15/06/2015,E100-1-34A,LSQ,N,O417D13318,A,M,Balls,32.15,,,127.55,86.45,68,,19,109,90,,,,,,,PF138,,Z116,Jess,Jess,
E100-1-2015-2,15/06/2015,E100-1-36A,WH,N,O417D1352B,A,M,Balls,27.65,20,14.2,,,,,18,82,64,14,,,,PT303,,,,Z117,Jess,Jess,
E100-1-2015-2,15/06/2015,E100-1-4A,MFR,N,O41868CDE1,SA,M,"No balls, no bare patch",31.25,19.2,12.75,,,,,18,73,55,20,,,,PT308,PP176,PF140,,,Jess,Sabri,
E100-1-2015-2,15/06/2015,E100-1-27B,WH,R,O41868E1F2,SA,F,,,,,,,,,,,,,,,,,,,,,Jess,Jess,
E100-1-2015-2,15/06/2015,E100-1-5B,RS,R,O41868EE39,A,M,,,,,,,,,,,,,,,,,,,,,Jess,Sabri,
E100-1-2015-2,15/06/2015,E100-1-45A,CTRS,R,O41868F5CB,A,F,,,,,,,,,,,,,,,,,,PF137,,Z115,Jess,Jess,
E100-1-2015-2,15/06/2015,E100-1-7B,WH,N,O41869EO77,A,M,Balls,25.95,19.1,17,,,,,19,70,51,27,,,,PT309,PP177,,,Z124,Jess,Sabri,
E100-1-2015-2,15/06/2015,E100-1-35A,SS,R,O418EB849F,A,F,,,,,,,,,,,,,,,,,,,,,Jess,Jess,
