Occasion,Date,Trap,Species (LSQ: Low's Squirrel; RBSSQ: Red-bellied Scultor Squirrel; SS: Small Spiny; MR: Muller's; CBS: Chesnut-Bellied Spiny; LETRS: Lesser Treeshrew; STRS: Slender Treeshrew; LGTRS: Large Treeshrew),N or R,Tag no.,Age,Sex,Sexing Notes,HF,E,AGD,HB,T,Tail % of HB,MZ,Bag Weight,Gross Weight,Net Weight,Parasites (number of ectoparasites visible with naked eye),Body Fat,Injuries ,Dead?,Tissue Sample ID,Parasite Sample,Fur sample,Faecal Sample 1,Faecal Sample 2,Processor,Who Baited,Other Notes
D100-1-2011-2,21/08/2011,D100-1-47B,RS,N,O41781A562,A,F,,41.05,24.15,10.1,,,,,19,124,105,131,,,,247,,,,,Leah,Roy,
D100-1-2011-2,21/08/2011,D100-1-29B,WH,N,O41781A6D7,A,F,,26.25,15.95,9.2,,,,,19,60,41,22,,,,246,,,,,Leah,Roy,
D100-1-2011-2,21/08/2011,D100-1-23B,CTRS,N,O41781FDF2,A,M,,49.9,14.1,,201.65,188.05,,33.8,19,186,167,9,,,,,,,,,Leah,Kiel,4 x pictures taken by Leah (in folder)
D100-1-2011-3,22/08/2011,D100-1-29A,RS,R,O4173BFC38,A,F,,,,,,,,,,,,,,,,,,,,,Kiel,Roy,
D100-1-2011-3,22/08/2011,D100-1-19B,RS,R,O4178159DA,A,M,,,,,,,,,,,,,,Half tail missing,,,,,,,Leah,Kiel,
D100-1-2011-3,22/08/2011,D100-1-4A,WH,N,O417815B6O,A,M,Very large testes,27.6,17.55,15.3,,,,,19,62,43,31,,,,253,,,,,Leah,Roy,White patch on belly
D100-1-2011-3,22/08/2011,D100-1-40B,MR,N,O417816437,A,F,Perforated,40.5,20.05,14.85,,,,,19,166,147,38,,,,,,,,,Leah,Roy,
D100-1-2011-3,22/08/2011,D100-1-44B,WH,R,O4178171C8,A,F,,,,,,,,,,,,,,,,,,,,,Kiel,Kiel,
D100-1-2011-3,22/08/2011,D100-1-22A,RS,N,O417817347,A,F,Mammae,39.25,23.9,11.6,,,,,19,147,128,140,,,,251,,,,,Leah,Kiel,
D100-1-2011-3,22/08/2011,D100-1-34A,RS,R,O417817594,A,M?,,,,,,,,,,,,,,,,,,,,,Kiel,Roy,
D100-1-2011-3,22/08/2011,D100-1-6B,LTG,N,O4178178DC,A,F,,45,25.65,17,,,,,19,279,260,32,,"Tear in R ear, cut in tail from trap",,250,,,,,Leah,Leah,
D100-1-2011-3,22/08/2011,D100-1-27A,LTG,R,O417817O16,A,F,,,,,,,,,,,,,,,,,,,,,Kiel,Leah,
D100-1-2011-3,22/08/2011,D100-1-28A,RR,N,O4178183D3,A,F,Perforated,36.3,19,18.9,,,,,19,129,110,5,,,,,,,,,Leah,Roy,Got pictures x 4 (see Leah's folder)
D100-1-2011-3,22/08/2011,D100-1-15B,SS,R,O41781841C,A,M?,,,,,,,,,,,,,,,,,,,,,Leah,Kiel,
D100-1-2011-3,22/08/2011,D100-1-41B,RS,N,O417818F62,A,F,,41,23.7,13.75,,,,,19,131,112,131,,"Cut in tail (new), cut on nose (new), tear in L ear",,252,,,,,Leah,Kiel,"Thick ankle bands, thin broken collar, very dark upperparts (for an RS)"
D100-1-2011-3,22/08/2011,D100-1-3A,WH,N,O4178199E4,A,M,Testes (black patch),27.5,16.9,15.2,,,,,19,61,42,28,,"Half tail missing (old), tear in R ear",,254,,,,,Leah,Leah,
D100-1-2011-3,22/08/2011,D100-1-32A,SS,N,O417819F77,A,M,Testes (black patch),27.4,16.05,13.4,,,,,19,70,51,106,,,,,,,,,Leah,Leah,
D100-1-2011-3,22/08/2011,D100-1-40A,RS,R,O41781A45O,A,M,,,,,,,,,,,,,,,,,,,,,Kiel,Roy,
D100-1-2011-3,22/08/2011,D100-1-8B,RS,R,O41781A9O2,A,F,,,,,,,,,,,,,,,,,,,,,Leah,Roy,
D100-1-2011-3,22/08/2011,D100-1-26B,LTG,R,O417O6754E,A,M,,,,,,,,,,,,,,,,,,,,,Kiel,Leah,
D100-1-2011-4,23/08/2011,D100-1-21B,SS,R,O4173CO3B4,A,M,,,,,,,,,,,,,,,,,,,,,Kiel,Leah,
D100-1-2011-4,23/08/2011,D100-1-46A,MR,N,O41781588C,A,M,Testes (black patch),41.65,19.15,25,,,,,21,183,162,18,,Half tail missing (old),,,,,,,Leah,Roy,
D100-1-2011-4,23/08/2011,D100-1-16A,WH,N,O417815A89,A,M,Testes (black patch),26.8,15.8,13.1,,,,,21,61,40,30,,,,257,,,,,Leah,Roy,
D100-1-2011-4,23/08/2011,D100-1-4A,WH,R,O417815B6O,A,M,,,,,,,,,,,,,,,,,,,,,Kiel,Kiel,
D100-1-2011-4,23/08/2011,D100-1-41B,SS,N,O417815D27,A,M,Testes (black patch),26.3,16.45,11.75,,,,,21,65,44,39,,,,,,,,,Leah,Roy,
D100-1-2011-4,23/08/2011,D100-1-48A,PR,N,O4178161B5,A,M,Testes,22.9,13.3,20.65,,,,,21,60,39,6,,,,,,,,,Leah,Roy,
D100-1-2011-4,23/08/2011,D100-1-44B,RS,R,O41781624D,A,M,,,,,,,,,,,,,,,,,,,,,Kiel,Roy,
D100-1-2011-4,23/08/2011,D100-1-40A,MR,R,O417816437,A,F,,,,,,,,,,,,,,,,,,,,,Leah,Roy,
D100-1-2011-4,23/08/2011,D100-1-22B,WH,R,O417816548,A,M,,,,,,,,,,,,,,,,,,,,,Kiel,Leah,
D100-1-2011-4,23/08/2011,D100-1-3A,RS,N,O41781694B,A,M,Testes (black patch),41,23.4,16.7,,,,,21,117,96,109,,,,258,,,,,Leah,Leah,"Thick ankle bands, thin incomplete collar, white tail tip"
D100-1-2011-4,23/08/2011,D100-1-15B,RS,R,O417816C49,A,M,,,,,,,,,,,,,,,,,,,,,Kiel,Roy,
D100-1-2011-4,23/08/2011,D100-1-44A,LSQ,N,O417816E53,A,F,,33.25,14.6,5.7,146.8,99,,,22,102,80,4,,,,,,,,,Leah,Roy,
D100-1-2011-4,23/08/2011,D100-1-36B,LTG,R,O417817O16,A,F,,,,,,,,,,,,,,,,,,,,,Leah,Kiel,
D100-1-2011-4,23/08/2011,D100-1-32A,RS,N,O417817O5D,A,F,,39.85,24,9.75,,,,,21,125,104,117,,,,256,,,,,Leah,Kiel,
D100-1-2011-4,23/08/2011,D100-1-25A,PR,N,O4178181D4,A,F,Perforated,23.5,15.45,11.85,,,,,21,56,35,3,,,,,,,,,Leah,Kiel,"Dull brown upperparts, white underparts, small, soft thick fur, soft spines, grey underfur, tail all dark. Pictures x 3"
D100-1-2011-4,23/08/2011,D100-1-14A,RS,R,O417818BD5,A,M,,,,,,,,,,,,,,,,,,,,,Leah,Roy,
D100-1-2011-4,23/08/2011,D100-1-8B,WH,N,O4178195AB,A,M,Testes,29.8,17.85,16.55,,,,,22,?,,75,,,,255,,,,,Leah,Kiel,
D100-1-2011-4,23/08/2011,D100-1-20A,WH,R,O41781A1D1,A,M,,,,,,,,,,,,,,,,,,,,,Kiel,Leah,
D100-1-2011-4,23/08/2011,D100-1-42B,RS,R,O41781A562,A,F,,,,,,,,,,,,,,,,,,,,,Kiel,Roy,
D100-1-2011-4,23/08/2011,D100-1-47B,SS,N,O41781A61A,A,F,,27.9,17.2,9.6,,,,,21,75,54,64,,,,,,,,,Leah,Roy,
D100-1-2011-4,23/08/2011,D100-1-26A,WH,R,O41781A6D7,A,F,,,,,,,,,,,,,,,,,,,,,Kiel,Kiel,
D100-1-2011-4,23/08/2011,D100-1-48B,SS,N,O41781A8BE,A,M,Small testes,27.7,17.5,14.65,,,,,21,73,52,33,,,,,,,,,Leah,Roy,
D100-1-2011-4,23/08/2011,D100-1-17B,MR,R,O41781AEA1,A,M,,,,,,,,,,,,,,,,,,,,,Kiel,Leah,
D100-1-2011-4,23/08/2011,D100-1-6B,RS,R,O41781AO2D,A,M,,,,,,,,,,,,,,,,,,,,,Leah,Leah,"Roy wrote UU even though he should have written SR, because Leah had already processed this trap"
D100-1-2011-4,23/08/2011,D100-1-10A,CTRS,N,O41781FD8B,A,F,,49,14.3,,215.3,197.95,,34.5,22,205,183,11,,,,,,,,,Leah,Roy,Pictures x 2
D100-1-2011-5,24/08/2011,D100-1-41B,PR,N,O417815B2C,A,M,Testes,21.7,13.2,24.25,,,,,21,65,44,8,,,,,,,,,Ollie,Roy,
D100-1-2011-5,24/08/2011,D100-1-42A,RS,R,O41781624D,A,M,,,,,,,,,,,,,,,,,,,,,Leah,Kiel,
D100-1-2011-5,24/08/2011,D100-1-40A,MR,R,O417816437,A,F,,,,,,,,,,,,,,,,,,,,,Ollie,Leah,
D100-1-2011-5,24/08/2011,D100-1-8B,LTG,R,O417816838,A,F,,,,,,,,,,,,,,,,,,,,,Leah,Roy,
D100-1-2011-5,24/08/2011,D100-1-17A,RS,R,O417816C49,A,M,,,,,,,,,,,,,,,,,,,,,Leah,Kiel,
D100-1-2011-5,24/08/2011,D100-1-44A,WH,R,O4178171C8,A,F,,,,,,,,,,,,,,,,,,,,,Leah,Roy,
D100-1-2011-5,24/08/2011,D100-1-42B,RS,R,O4178171O5,A,M,,,,,,,,,,,,,,,,,,,,,Leah,Kiel,
D100-1-2011-5,24/08/2011,D100-1-22A,RS,R,O417817347,A,F,,,,,,,,,,,,,,,,,,,,,Leah,Kiel,
D100-1-2011-5,24/08/2011,D100-1-32A,RS,R,O417817594,A,M?,,,,,,,,,,,,,,,,,,,,,Ollie,Roy,
D100-1-2011-5,24/08/2011,D100-1-29B,DTT,N,O41781764B,A,F,Perforated,26.8,16.3,11.7,,,,,20,88,68,9,,End of tail missing,,260,,,,,Leah,Roy,
D100-1-2011-5,24/08/2011,D100-1-45A,RS,N,O41781795B,A,M,Testes (black patch),41.4,23.7,15.3,,,,,21,128,107,162,,End of tail missing (old),,261,,,,,Leah,Kiel,
D100-1-2011-5,24/08/2011,D100-1-29A,LTG,R,O417817O16,A,F,,,,,,,,,,,,,,,,,,,,,Ollie,Roy,
D100-1-2011-5,24/08/2011,D100-1-19B,SS,R,O41781841C,A,M?,,,,,,,,,,,,,,,,,,,,,Leah,Kiel,
D100-1-2011-5,24/08/2011,D100-1-12A,RS,R,O417818BD5,A,M,,,,,,,,,,,,,,,,,,,,,Leah,Roy,
D100-1-2011-5,24/08/2011,D100-1-48B,RS,R,O417818F62,A,F,,,,,,,,,,,,,,,,,,,,,Leah,Roy,
D100-1-2011-5,24/08/2011,D100-1-48A,RS,N,O41781929A,A,F,,38.1,23.2,18.3,,,,,21,139,118,66,,,,262,,,,,Ollie,Roy,
D100-1-2011-5,24/08/2011,D100-1-47A,SS,R,O41781A8BE,A,M,,,,,,,,,,,,,,,,,,,,,Leah,Kiel,
D100-1-2011-5,24/08/2011,D100-1-1A,RS,R,O41781A9O2,A,F,,,,,,,,,,,,,,,,,,,,,Leah,Roy,
D100-1-2011-5,24/08/2011,D100-1-7A,CTRS,R,O41781FDF2,A,M,,,,,,,,,,,,,,,,,,,,,Leah,Roy,
D100-1-2011-5,24/08/2011,D100-1-23A,LTG,R,O417O6754E,A,M,,,,,,,,,,,,,,,,,,,,,Leah,Kiel,
D100-1-2011-5,24/08/2011,D100-1-7B,RS,N,O417O84348,A,F,,39.6,23.25,11.1,,,,,21,182,161,105,,,,259,,,,,Ollie,Roy,
D100-1-2011-6,25/08/2011,D100-1-31A,PR,N,O4173BF953,A,M,Large testes,24.95,16.15,23.9,,,,,19,61,42,11,,,,,,,,,Leah,Jen/James,
D100-1-2011-6,25/08/2011,D100-1-37B,RS,R,O4173BFC38,A,F,,,,,,,,,,,,,,Cut on L shoulder,,,,,,,Leah,Ollie,
D100-1-2011-6,25/08/2011,D100-1-28A,SS,R,O4173CO3B4,A,M,,,,,,,,,,,,,,,,,,,,,Leah,Jen/James,
D100-1-2011-6,25/08/2011,D100-1-41A,MR,R,O41781588C,A,M,,,,,,,,,,,,,,,,,,,,,Ollie,Leah,
D100-1-2011-6,25/08/2011,D100-1-10A,WH,R,O417815E49,A,F,,,,,,,,,,,,,,,,,,,,,Leah,Kiel,
D100-1-2011-6,25/08/2011,D100-1-47A,RS,R,O41781624D,A,M,,,,,,,,,,,,,,,,,,,,,Ollie,Leah,
D100-1-2011-6,25/08/2011,D100-1-22A,WH,R,O417816548,A,M,,,,,,,,,,,,,,,,,,,,,Leah,Roy,
D100-1-2011-6,25/08/2011,D100-1-6B,LTG,R,O417816838,A,F,,,,,,,,,,,,,,,,,,,,,Leah,Kiel,
D100-1-2011-6,25/08/2011,D100-1-44B,RS,R,O4178171O5,A,M,,,,,,,,,,,,,,,,,,,,,Ollie,Leah,
D100-1-2011-6,25/08/2011,D100-1-32A,RS,R,O417817594,A,M?,,,,,,,,,,,,,,,,,,,,,,Jen/James,
D100-1-2011-6,25/08/2011,D100-1-36B,LTG,R,O417817O16,A,F,,,,,,,,,,,,,,,,,,,,,Leah,Ollie,
D100-1-2011-6,25/08/2011,D100-1-34B,DTT,N,O4178182B9,A,M,Testes,25.8,17.25,21.8,,,,,20,80,60,18,,Tear in L ear,,263,,,,,Leah,Ollie,
D100-1-2011-6,25/08/2011,D100-1-8B,DTT,N,O4178184O9,A,M,Testes,27.15,16.1,21.35,,,,,20,87,67,3,,,,266,,,,,Leah,Kiel,
D100-1-2011-6,25/08/2011,D100-1-48B,SS,N,O417818695,A,M,Bulge above anus - testes,25,16.7,13.1,,,,,21,79,58,69,,Missing very end of tail (old),,,,,,,Ollie,Leah,
D100-1-2011-6,25/08/2011,D100-1-28B,LGTRS,N,O41781882E,A,M,,41.7,,,187.6,166.6,,42.4,21,212,191,0,,,,,,,,,Ollie,Jen/James,"Reddish/orange underparts, particularly breast"
D100-1-2011-6,25/08/2011,D100-1-12A,WH,R,O4178188C7,A,M,,,,,,,,,,,,,,,,,,,,,Leah,Kiel,
D100-1-2011-6,25/08/2011,D100-1-37A,WH,N,O417818BA6,A,M?,,25.7,16.6,11.65,,,,,21,59,38,28,,,,265,,,,,Ollie,Ollie,
D100-1-2011-6,25/08/2011,D100-1-41B,RS,R,O417818F62,A,F,,,,,,,,,,,,,,,,,,,,,Ollie,James,
D100-1-2011-6,25/08/2011,D100-1-45A,WH,N,O417818FD5,A,M,Testes (black patch),27.3,17,13.6,,,,,20,59,39,9,,,,264,,,,,Leah,Ollie,
D100-1-2011-6,25/08/2011,D100-1-30A,PR,N,O417819166,A,M,Testes,24,15.3,21.3,,,,,21,63,42,4,,End of tail stripped (trap),,,,,,,Ollie,Jen/James,
D100-1-2011-6,25/08/2011,D100-1-43A,RR,N,O41781979A,A,F,Perforated,32.65,17.4,13.45,,,,,20,81,61,8,,,,,,,,,Leah,Leah,Brown stripe down belly
D100-1-2011-6,25/08/2011,D100-1-46B,RS,R,O41781A562,A,F,,,,,,,,,,,,,,,,,,,,,Ollie,Leah,
D100-1-2011-6,25/08/2011,D100-1-48A,SS,R,O41781A61A,A,F,,,,,,,,,,,,,,,,,,,,,Ollie,Ollie,
D100-1-2011-6,25/08/2011,D100-1-45B,SS,R,O41781A8BE,A,M,,,,,,,,,,,,,,,,,,,,,Ollie,Leah,
D100-1-2011-6,25/08/2011,D100-1-1A,RS,R,O41781A9O2,A,F,,,,,,,,,,,,,,,,,,,,,Leah,Kiel,
D100-1-2011-6,25/08/2011,D100-1-3A,RS,R,O41781AO2D,A,M,,,,,,,,,,,,,,,,,,,,,Leah,Kiel,
D100-1-2011-6,25/08/2011,D100-1-36A,CTRS,R,O41781FD8B,A,F,,,,,,,,,,,,,,,,,,,,,Leah,Ollie,
D100-1-2011-7,26/08/2011,D100-1-27A,FSGSQ,N,FSGSQO1,A,F,2 mammae above genitalia,42.9,,,177.75,163,,,21,221,200,0,,,,,,,,,Ollie,James,Not distinct second set of white stripes. Apparently did not finish writing down tag number!
D100-1-2011-7,26/08/2011,D100-1-4A,WH,R,O417815B6O,A,M,,,,,,,,,,,,,,,,,,,,,Leah,Mathiew,
D100-1-2011-7,26/08/2011,D100-1-48A,SS,R,O417815D27,A,M,,,,,,,,,,,,,,,,,,,,,Leah,Ollie,
D100-1-2011-7,26/08/2011,D100-1-7B,WH,R,O417815E49,A,F,,,,,,,,,,,,,,,,,,,,,,Mathiew,
D100-1-2011-7,26/08/2011,D100-1-44B,RS,R,O41781624D,A,M,,,,,,,,,,,,,,,,,,,,,Leah,Ollie,
D100-1-2011-7,26/08/2011,D100-1-3A,DTT,N,O4178166BA,A,F,Perforated,26.8,15.4,11.7,,,,,19,92,73,8,,,,269,,,,,Leah,Leah,
D100-1-2011-7,26/08/2011,D100-1-3B,LTG,R,O417816838,A,F,,,,,,,,,,,,,,,,,,,,,Leah,Mathiew,
D100-1-2011-7,26/08/2011,D100-1-16A,RS,R,O417816C49,A,M,,,,,,,,,,,,,,,,,,,,,Leah,James,
D100-1-2011-7,26/08/2011,D100-1-34A,RS,R,O417817594,A,M?,,,,,,,,,,,,,,,,,,,,,Ollie,Leah,
D100-1-2011-7,26/08/2011,D100-1-40A,DTT,N,O417817B11,A,F,Perforated,26.7,15,11,,,,,20,75,55,6,,,,271,,,,,Leah,Leah,
D100-1-2011-7,26/08/2011,D100-1-6B,WH,N,O417817ED3,A,F,,27..5,18.8,11.7,,,,,19,66,47,17,,,,270,,,,,Leah,Ollie,Possibly overdosed
D100-1-2011-7,26/08/2011,D100-1-29B,LTG,R,O417817O16,A,F,,,,,,,,,,,,,,"Tail bloody where caught in trap, but intact. Nose skin bare. ",,,,,,,Ollie,James,
D100-1-2011-7,26/08/2011,D100-1-24B,RS,R,O417817O5D,A,F,,,,,,,,,,,,,,,,,,,,,Leah,Mathiew,
D100-1-2011-7,26/08/2011,D100-1-19B,SS,R,O41781841C,A,M?,,,,,,,,,,,,,,,,,,,,,Leah,Mathiew,
D100-1-2011-7,26/08/2011,D100-1-27B,MR,R,O4178188BA,A,F,,,,,,,,,,,,,,Missing end of tail and broken/crooked about half way down (new or old?),,,,,,,Ollie,James,
D100-1-2011-7,26/08/2011,D100-1-14B,LGTRS,N,O417818CE3,A,M,,42.4,,,182.9,177.6,,41.2,21,217,196,7,,,,,,,,,Ollie,James,
D100-1-2011-7,26/08/2011,D100-1-41B,RS,R,O41781929A,A,F,,,,,,,,,,,,,,,,,,,,,Leah,Ollie,
D100-1-2011-7,26/08/2011,D100-1-47B,RR,N,O41781A3A2,A,M,Testes,34.2,19.85,31.85,,,,,19,113,94,3,,,,,,,,,Leah,Ollie,
D100-1-2011-7,26/08/2011,D100-1-45A,RS,N,O41781A4CD,A,F,,40.65,24.6,13.6,,,,,19,177,158,182,,Tear in R ear,,267,,,,,Leah,Mathiew,"Thin broken collar, thick ankle bands, white tail tip"
D100-1-2011-7,26/08/2011,D100-1-46B,RR,N,O41781A65C,A,F,Perforated,35.4,16.2,20.5,,,,,20,129,109,6,,,,,,,,,Leah,Ollie,
D100-1-2011-7,26/08/2011,D100-1-31B,WH,R,O41781A6D7,A,F,,,,,,,,,,,,,,,,,,,,,Ollie,James,
D100-1-2011-7,26/08/2011,D100-1-48B,WH,N,O41781A91B,A,F?,,25.25,15.9,9,,,,,21,62,41,27,,,,268,,,,,Ollie,Mathiew,
D100-1-2011-7,26/08/2011,D100-1-12A,DTT,N,O41781AD2D,A,M,Testes,22.7,14.7,20.6,,,,,21,83,62,6,,,,272,,,,,Ollie,James,
D100-1-2011-7,26/08/2011,D100-1-22B,LTG,R,O417O6754E,A,M,,,,,,,,,,,,,,,,,,,,,Leah,Mathiew,"Plastic ripped, trap moved, rat muddy"
D100-1-2011-7,26/08/2011,D100-1-8B,RS,R,O417O84348,A,F,,,,,,,,,,,,,,,,,,,,,,James,
D100-2-2011--2,28/08/2011,D100-2-48A,RS,N,NewDead36,,,,,,,,,,,,,,,,,Y,,,,,,Ollie,Ollie's Team,Dead from red ants. Tissue eaten away in patches.
D100-2-2011--2,28/08/2011,D100-2-37A,WH,N,NewDead37,,,,,,,,,,,,,,,,Eyes removed and fur part removed,Y,,,,,,Ollie,Ollie's Team,"Almost dead, euthanased."
